mass,m/z,C,H,N,O,S,P,H/C,O/C,DBE,DBE/C,DBE/H,DBE/O,CRAM,AI-mod,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,KM,NKM,KMD,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv
323.0619842,323.06198,11,16,0,11,0,0,1.454545455,1,4,0.363636364,0.25,0.363636364,O,-0.272727273,----,----,HUnSatLig,----,----,----,323.13669,323,0.13669,5376121,6006606,3810658,0,0,0
339.0568988,339.0569,11,16,0,12,0,0,1.454545455,1.090909091,4,0.363636364,0.25,0.333333333,O,-0.4,----,----,HUnSatLig,----,----,----,339.1353,339,0.1353,3125410,3257508,2234676,0,0,0
325.0776342,325.07763,11,18,0,11,0,0,1.636363636,1,3,0.272727273,0.166666667,0.272727273,O,-0.454545455,----,----,----,----,SatFACarb,----,325.1528,325,0.1528,5038040,6068424,5086881,0,0,0
327.0932842,327.09328,11,20,0,11,0,0,1.818181818,1,2,0.181818182,0.1,0.181818182,O,-0.636363636,----,----,----,----,SatFACarb,----,327.16892,327,0.16892,3887427,5113425,5383152,0,0,0
375.0602695,375.06027,11,20,0,12,1,0,1.818181818,1.090909091,2,0.181818182,0.1,0.166666667,O,-1.25,----,----,----,----,SatFACarb,----,375.147,375,0.147,3419575,2935414,3155471,0,0,0
391.0551841,391.05518,11,20,0,13,1,0,1.818181818,1.181818182,2,0.181818182,0.1,0.153846154,O,-1.571428571,----,----,----,----,SatFACarb,----,391.14561,391,0.14561,3576208,2941236,3025288,0,0,0
319.0670696,319.06707,12,16,0,10,0,0,1.333333333,0.833333333,5,0.416666667,0.3125,0.5,O,0,----,----,HUnSatLig,----,----,----,319.14085,319,0.14085,3906527,3788937,2771477,0,0,0
335.0619842,335.06198,12,16,0,11,0,0,1.333333333,0.916666667,5,0.416666667,0.3125,0.454545455,O,-0.076923077,----,----,HUnSatLig,----,----,----,335.13946,335,0.13946,7174480,6780147,4953549,1564789,2166555,2033375
351.0568988,351.0569,12,16,0,12,0,0,1.333333333,1,5,0.416666667,0.3125,0.416666667,O,-0.166666667,----,----,HUnSatLig,----,----,----,351.13808,351,0.13808,9268193,10206548,7770519,3732566,4287263,6846200
367.0518134,367.05181,12,16,0,13,0,0,1.333333333,1.083333333,5,0.416666667,0.3125,0.384615385,O,-0.272727273,----,----,HUnSatLig,----,----,----,367.13669,367,0.13669,4480258,4740291,3483595,0,0,0
321.0827196,321.08272,12,18,0,10,0,0,1.5,0.833333333,4,0.333333333,0.222222222,0.4,O,-0.142857143,----,----,----,----,SatFACarb,----,321.15697,321,0.15697,7175978,7663080,6305848,3629899,4156639,4660854
337.0776342,337.07763,12,18,0,11,0,0,1.5,0.916666667,4,0.333333333,0.222222222,0.363636364,O,-0.230769231,----,----,----,----,SatFACarb,----,337.15558,337,0.15558,14329590,14972616,11789178,3494540,4013053,4387269
353.0725488,353.07255,12,18,0,12,0,0,1.5,1,4,0.333333333,0.222222222,0.333333333,O,-0.333333333,----,----,----,----,SatFACarb,----,353.15419,353,0.15419,19566066,21655470,16579578,1786054,2918294,3002736
369.0674634,369.06746,12,18,0,13,0,0,1.5,1.083333333,4,0.333333333,0.222222222,0.307692308,O,-0.454545455,----,----,----,----,SatFACarb,----,369.1528,369,0.1528,10073912,11014974,9392234,3923070,5465126,7820836
323.0983696,323.09837,12,20,0,10,0,0,1.666666667,0.833333333,3,0.25,0.15,0.3,O,-0.285714286,----,----,----,----,SatFACarb,----,323.17308,323,0.17308,5476479,5615445,5797224,2534156,2990671,3154414
339.0932842,339.09328,12,20,0,11,0,0,1.666666667,0.916666667,3,0.25,0.15,0.272727273,O,-0.384615385,----,----,----,----,SatFACarb,----,339.17169,339,0.17169,18112682,19636397,16973116,8363183,8609777,8823229
355.0881988,355.0882,12,20,0,12,0,0,1.666666667,1,3,0.25,0.15,0.25,O,-0.5,----,----,----,----,SatFACarb,----,355.17031,355,0.17031,22827021,29897235,27225711,3355453,4982299,5894134
387.0602695,387.06027,12,20,0,12,1,0,1.666666667,1,3,0.25,0.15,0.25,O,-0.8,----,----,----,----,SatFACarb,----,387.14977,387,0.14977,4406761,4095875,3694017,0,0,0
371.0831134,371.08311,12,20,0,13,0,0,1.666666667,1.083333333,3,0.25,0.15,0.230769231,O,-0.636363636,----,----,----,----,SatFACarb,----,371.16892,371,0.16892,6460779,8420788,7618309,0,0,0
403.0551841,403.05518,12,20,0,13,1,0,1.666666667,1.083333333,3,0.25,0.15,0.230769231,O,-1,----,----,----,----,SatFACarb,----,403.14838,403,0.14838,4653740,4889455,3525980,0,0,0
419.0500987,419.0501,12,20,0,14,1,0,1.666666667,1.166666667,3,0.25,0.15,0.214285714,O,-1.25,----,----,----,----,SatFACarb,----,419.147,419,0.147,3754394,3614383,2279504,0,0,0
325.1140196,325.11402,12,22,0,10,0,0,1.833333333,0.833333333,2,0.166666667,0.090909091,0.2,O,-0.428571429,----,----,----,----,SatFACarb,----,325.1892,325,0.1892,2616287,3804367,3250855,0,0,0
341.1089342,341.10893,12,22,0,11,0,0,1.833333333,0.916666667,2,0.166666667,0.090909091,0.181818182,O,-0.538461538,----,----,----,----,SatFACarb,----,341.18781,341,0.18781,5550699,7956131,7613205,0,0,0
357.1038488,357.10385,12,22,0,12,0,0,1.833333333,1,2,0.166666667,0.090909091,0.166666667,O,-0.666666667,----,----,----,----,SatFACarb,----,357.18642,357,0.18642,23958064,33526913,37368050,0,0,0
389.0759195,389.07592,12,22,0,12,1,0,1.833333333,1,2,0.166666667,0.090909091,0.166666667,O,-1,----,----,----,----,SatFACarb,----,389.16589,389,0.16589,5626825,5894508,4195256,2954342,2704141,3012062
405.0708341,405.07083,12,22,0,13,1,0,1.833333333,1.083333333,2,0.166666667,0.090909091,0.153846154,O,-1.222222222,----,----,----,----,SatFACarb,----,405.1645,405,0.1645,6215646,6954064,5624333,1668280,1729874,1886661
329.0514196,329.05142,13,14,0,10,0,0,1.076923077,0.769230769,7,0.538461538,0.5,0.7,O,0.25,----,----,HUnSatLig,----,----,----,329.12751,329,0.12751,3862702,3551708,3533638,0,0,0
