C,H,N,O,S,P,,mass,,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,Initial,AvgInitial,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv,AvgFinal,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
11,16,0,11,0,0,,323.0619842,,5376121,6006606,3810658,Yes,5064461.667,0,0,0,0,1.454545455,1,,323.06198,4,0.363636364,0.25,0.363636364,O,,,-0.272727273,,----,----,HUnSatLig,----,----,----,,323.13669,323,0.13669
11,16,0,12,0,0,,339.0568988,,3125410,3257508,2234676,Yes,2872531.333,0,0,0,0,1.454545455,1.090909091,,339.0569,4,0.363636364,0.25,0.333333333,O,,,-0.4,,----,----,HUnSatLig,----,----,----,,339.1353,339,0.1353
11,18,0,11,0,0,,325.0776342,,5038040,6068424,5086881,Yes,5397781.667,0,0,0,0,1.636363636,1,,325.07763,3,0.272727273,0.166666667,0.272727273,O,,,-0.454545455,,----,----,----,----,SatFACarb,----,,325.1528,325,0.1528
11,20,0,11,0,0,,327.0932842,,3887427,5113425,5383152,Yes,4794668,0,0,0,0,1.818181818,1,,327.09328,2,0.181818182,0.1,0.181818182,O,,,-0.636363636,,----,----,----,----,SatFACarb,----,,327.16892,327,0.16892
11,20,0,12,1,0,,375.0602695,,3419575,2935414,3155471,Yes,3170153.333,0,0,0,0,1.818181818,1.090909091,,375.06027,2,0.181818182,0.1,0.166666667,O,,,-1.25,,----,----,----,----,SatFACarb,----,,375.147,375,0.147
11,20,0,13,1,0,,391.0551841,,3576208,2941236,3025288,Yes,3180910.667,0,0,0,0,1.818181818,1.181818182,,391.05518,2,0.181818182,0.1,0.153846154,O,,,-1.571428571,,----,----,----,----,SatFACarb,----,,391.14561,391,0.14561
12,16,0,10,0,0,,319.0670696,,3906527,3788937,2771477,Yes,3488980.333,0,0,0,0,1.333333333,0.833333333,,319.06707,5,0.416666667,0.3125,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,319.14085,319,0.14085
12,16,0,11,0,0,,335.0619842,,7174480,6780147,4953549,Yes,6302725.333,1564789,2166555,2033375,1921573,1.333333333,0.916666667,,335.06198,5,0.416666667,0.3125,0.454545455,O,,,-0.076923077,,----,----,HUnSatLig,----,----,----,,335.13946,335,0.13946
12,16,0,12,0,0,,351.0568988,,9268193,10206548,7770519,Yes,9081753.333,3732566,4287263,6846200,4955343,1.333333333,1,,351.0569,5,0.416666667,0.3125,0.416666667,O,,,-0.166666667,,----,----,HUnSatLig,----,----,----,,351.13808,351,0.13808
12,16,0,13,0,0,,367.0518134,,4480258,4740291,3483595,Yes,4234714.667,0,0,0,0,1.333333333,1.083333333,,367.05181,5,0.416666667,0.3125,0.384615385,O,,,-0.272727273,,----,----,HUnSatLig,----,----,----,,367.13669,367,0.13669
12,18,0,10,0,0,,321.0827196,,7175978,7663080,6305848,Yes,7048302,3629899,4156639,4660854,4149130.667,1.5,0.833333333,,321.08272,4,0.333333333,0.222222222,0.4,O,,,-0.142857143,,----,----,----,----,SatFACarb,----,,321.15697,321,0.15697
12,18,0,11,0,0,,337.0776342,,14329590,14972616,11789178,Yes,13697128,3494540,4013053,4387269,3964954,1.5,0.916666667,,337.07763,4,0.333333333,0.222222222,0.363636364,O,,,-0.230769231,,----,----,----,----,SatFACarb,----,,337.15558,337,0.15558
12,18,0,12,0,0,,353.0725488,,19566066,21655470,16579578,Yes,19267038,1786054,2918294,3002736,2569028,1.5,1,,353.07255,4,0.333333333,0.222222222,0.333333333,O,,,-0.333333333,,----,----,----,----,SatFACarb,----,,353.15419,353,0.15419
12,18,0,13,0,0,,369.0674634,,10073912,11014974,9392234,Yes,10160373.33,3923070,5465126,7820836,5736344,1.5,1.083333333,,369.06746,4,0.333333333,0.222222222,0.307692308,O,,,-0.454545455,,----,----,----,----,SatFACarb,----,,369.1528,369,0.1528
12,20,0,10,0,0,,323.0983696,,5476479,5615445,5797224,Yes,5629716,2534156,2990671,3154414,2893080.333,1.666666667,0.833333333,,323.09837,3,0.25,0.15,0.3,O,,,-0.285714286,,----,----,----,----,SatFACarb,----,,323.17308,323,0.17308
12,20,0,11,0,0,,339.0932842,,18112682,19636397,16973116,Yes,18240731.67,8363183,8609777,8823229,8598729.667,1.666666667,0.916666667,,339.09328,3,0.25,0.15,0.272727273,O,,,-0.384615385,,----,----,----,----,SatFACarb,----,,339.17169,339,0.17169
12,20,0,12,0,0,,355.0881988,,22827021,29897235,27225711,Yes,26649989,3355453,4982299,5894134,4743962,1.666666667,1,,355.0882,3,0.25,0.15,0.25,O,,,-0.5,,----,----,----,----,SatFACarb,----,,355.17031,355,0.17031
12,20,0,12,1,0,,387.0602695,,4406761,4095875,3694017,Yes,4065551,0,0,0,0,1.666666667,1,,387.06027,3,0.25,0.15,0.25,O,,,-0.8,,----,----,----,----,SatFACarb,----,,387.14977,387,0.14977
12,20,0,13,0,0,,371.0831134,,6460779,8420788,7618309,Yes,7499958.667,0,0,0,0,1.666666667,1.083333333,,371.08311,3,0.25,0.15,0.230769231,O,,,-0.636363636,,----,----,----,----,SatFACarb,----,,371.16892,371,0.16892
12,20,0,13,1,0,,403.0551841,,4653740,4889455,3525980,Yes,4356391.667,0,0,0,0,1.666666667,1.083333333,,403.05518,3,0.25,0.15,0.230769231,O,,,-1,,----,----,----,----,SatFACarb,----,,403.14838,403,0.14838
12,20,0,14,1,0,,419.0500987,,3754394,3614383,2279504,Yes,3216093.667,0,0,0,0,1.666666667,1.166666667,,419.0501,3,0.25,0.15,0.214285714,O,,,-1.25,,----,----,----,----,SatFACarb,----,,419.147,419,0.147
12,22,0,10,0,0,,325.1140196,,2616287,3804367,3250855,Yes,3223836.333,0,0,0,0,1.833333333,0.833333333,,325.11402,2,0.166666667,0.090909091,0.2,O,,,-0.428571429,,----,----,----,----,SatFACarb,----,,325.1892,325,0.1892
12,22,0,11,0,0,,341.1089342,,5550699,7956131,7613205,Yes,7040011.667,0,0,0,0,1.833333333,0.916666667,,341.10893,2,0.166666667,0.090909091,0.181818182,O,,,-0.538461538,,----,----,----,----,SatFACarb,----,,341.18781,341,0.18781
12,22,0,12,0,0,,357.1038488,,23958064,33526913,37368050,Yes,31617675.67,0,0,0,0,1.833333333,1,,357.10385,2,0.166666667,0.090909091,0.166666667,O,,,-0.666666667,,----,----,----,----,SatFACarb,----,,357.18642,357,0.18642
12,22,0,12,1,0,,389.0759195,,5626825,5894508,4195256,Yes,5238863,2954342,2704141,3012062,2890181.667,1.833333333,1,,389.07592,2,0.166666667,0.090909091,0.166666667,O,,,-1,,----,----,----,----,SatFACarb,----,,389.16589,389,0.16589
12,22,0,13,1,0,,405.0708341,,6215646,6954064,5624333,Yes,6264681,1668280,1729874,1886661,1761605,1.833333333,1.083333333,,405.07083,2,0.166666667,0.090909091,0.153846154,O,,,-1.222222222,,----,----,----,----,SatFACarb,----,,405.1645,405,0.1645
