mass,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv
323.0619842,5376121,6006606,3810658,0,0,0
339.0568988,3125410,3257508,2234676,0,0,0
325.0776342,5038040,6068424,5086881,0,0,0
327.0932842,3887427,5113425,5383152,0,0,0
375.0602695,3419575,2935414,3155471,0,0,0
391.0551841,3576208,2941236,3025288,0,0,0
319.0670696,3906527,3788937,2771477,0,0,0
335.0619842,7174480,6780147,4953549,1564789,2166555,2033375
351.0568988,9268193,10206548,7770519,3732566,4287263,6846200
367.0518134,4480258,4740291,3483595,0,0,0
321.0827196,7175978,7663080,6305848,3629899,4156639,4660854
337.0776342,14329590,14972616,11789178,3494540,4013053,4387269
353.0725488,19566066,21655470,16579578,1786054,2918294,3002736
369.0674634,10073912,11014974,9392234,3923070,5465126,7820836
323.0983696,5476479,5615445,5797224,2534156,2990671,3154414
339.0932842,18112682,19636397,16973116,8363183,8609777,8823229
355.0881988,22827021,29897235,27225711,3355453,4982299,5894134
387.0602695,4406761,4095875,3694017,0,0,0
371.0831134,6460779,8420788,7618309,0,0,0
403.0551841,4653740,4889455,3525980,0,0,0
419.0500987,3754394,3614383,2279504,0,0,0
325.1140196,2616287,3804367,3250855,0,0,0
341.1089342,5550699,7956131,7613205,0,0,0
357.1038488,23958064,33526913,37368050,0,0,0
389.0759195,5626825,5894508,4195256,2954342,2704141,3012062
405.0708341,6215646,6954064,5624333,1668280,1729874,1886661
329.0514196,3862702,3551708,3533638,0,0,0
345.0463342,4071937,3968171,3993334,0,0,0
361.0412488,2847854,2974548,2760697,0,0,0
331.0670696,4195888,3972993,3688632,0,0,0
347.0619842,4284396,3977430,2865943,0,0,0
363.0568988,4836513,4173778,3515542,0,0,0
379.0518134,3054063,2964752,2360044,0,0,0
333.0827196,3677629,3662134,3351612,0,0,0
349.0776342,6827493,6714131,4306769,1894137,2473154,1942169
365.0725488,12301014,13172305,8950582,7259033,8640250,10688744
381.0674634,8066050,8948045,5930823,0,0,0
397.062378,3618435,4220907,2110000,0,0,0
335.0983696,4565847,4439291,3295701,2264190,2988579,3006952
351.0932842,11441131,11736415,10576289,4873825,5838122,5525251
367.0881988,18246924,20472015,14882263,4663827,5546392,4662157
383.0831134,15515147,17519480,12648845,5071999,6989058,7673719
399.078028,3504130,3334462,3044207,0,0,0
366.1041832,4042744,4432792,4031119,0,0,0
337.1140196,3851006,4259536,4279170,4383382,3716613,3773902
353.1089342,8474108,9471929,8164358,6686930,6134690,6879612
369.1038488,18468674,22094666,17784950,4808841,5680178,6413872
401.0759195,4411749,3554923,3165310,3205020,3849144,3009448
385.0987634,12087304,13723023,11088827,0,0,0
417.0708341,5554440,5119663,3328685,1960730,2309709,2033819
433.0657487,4202465,4235398,2143608,0,0,0
339.1296696,1990834,3337398,3694404,2670521,2809850,3089351
355.1245842,3478551,5064222,5263995,0,0,0
371.1194988,5474677,7665087,7813905,0,0,0
403.0915695,4046513,4674419,4580704,4256958,4351134,4883662
419.0864841,4584860,5327534,4614734,2218826,2897411,2863782
353.0150342,2813923,3377053,3699177,0,0,0
339.0357696,3999389,3191455,4128047,0,0,0
355.0306842,4512765,4638209,5226077,0,0,0
371.0255988,4376923,3905954,4598514,0,0,0
325.056505,2993620,3257540,3089566,0,0,0
341.0514196,5338718,5334677,5624583,0,0,0
357.0463342,7424544,6581359,6612192,0,0,0
373.0412488,6699915,6487056,6253957,0,0,0
389.0361634,2958272,2758499,2906543,0,0,0
327.072155,4347711,4410956,4055533,1825189,1770064,2517502
343.0670696,7016493,7088284,6201591,2001418,1783044,1700822
359.0619842,8655946,8240869,7830382,0,0,0
375.0568988,6944183,6246005,5731342,0,0,0
391.0518134,3219855,2991411,2580359,0,0,0
329.087805,5214389,4937699,4581709,2958475,3005166,3117730
345.0827196,6489610,6142645,5659391,2960721,2237491,2496007
361.0776342,7589497,7241056,5911045,0,0,0
377.0725488,7172059,6754511,5454474,0,0,0
393.0674634,6573900,5860583,3916605,0,0,0
376.0885332,2889936,3421099,2725206,0,0,0
331.103455,4745783,4552073,3396799,2897022,3099292,2850391
347.0983696,5235701,5090528,4301089,2110885,2168950,2973260
363.0932842,11122859,9571294,8022178,7350566,6151271,6595151
379.0881988,15350264,14679835,11713783,4893745,5338244,4764362
395.0831134,14276854,15576700,9604302,2754433,3405324,2913114
411.078028,8526553,8691216,5836554,0,0,0
362.1092686,2979736,3293350,2534747,2409454,2886431,2500869
378.1041832,5686513,6303230,4151242,4030232,4068188,3537305
394.0990978,5601321,5965242,4191247,0,0,0
342.1306728,2935636,3135913,2752014,4477951,4862728,4511960
358.1255874,3265352,3228096,2795069,3440381,4044280,3207639
374.120502,3402933,2604890,2649826,0,0,0
333.119105,3108804,3274046,2515524,2852477,2834523,3021339
349.1140196,4524526,4518685,3863388,3250692,3399885,3183780
365.1089342,9259744,9438813,7746370,7381924,8832774,8552693
381.1038488,26971148,26636631,21438290,16766565,16343762,14538031
397.0987634,27908746,29655026,22855222,8508673,8929649,8998129
413.093678,10697642,12420707,9270030,0,0,0
361.125253,3166342,3009903,2561044,2050229,3272152,1964988
377.1201676,3168744,3134173,2445977,0,0,0
364.1249186,3301324,3244837,2734586,2804845,3369407,2845098
380.1198332,4342538,5519426,4657710,1941076,2888116,2766341
396.1147478,6559176,8044351,6370699,1589833,2932936,2352687
360.1412374,3562868,3492920,3238096,2684796,3273873,3551859
351.1296696,4361204,4564330,4239788,5253740,6184246,5943054
367.1245842,9155863,11079898,8920547,11644447,11557284,10703769
383.1194988,18718228,22274946,20615575,9052296,9364748,9762689
399.1144134,25697288,29942084,27451252,4290147,4826797,4932196
431.0864841,3166134,3410176,2739792,2840747,2997896,2814729
415.109328,3725926,4349591,3119853,0,0,0
447.0813987,3342372,3018915,2130814,0,0,0
382.1354832,2810136,4222581,3686014,0,0,0
398.1303978,2893649,4525219,3693278,0,0,0
346.1619728,2613007,2626524,3229728,2569359,2843494,2464827
369.1402342,2626892,3848021,3998338,2863252,2716222,3568188
385.1351488,3052561,4367768,4692933,0,0,0
433.1021341,3184097,2890884,2560884,3224658,3037632,3619462
365.0150342,3475142,3073087,3386147,0,0,0
381.0099488,2511347,3071293,3308342,0,0,0
351.0357696,4749276,4673870,5523856,0,0,0
367.0306842,6669564,5784765,8322500,0,0,0
383.0255988,5448188,5507944,5936509,0,0,0
399.0205134,3771383,3659061,3814246,0,0,0
337.056505,4006130,3945155,4237685,1483654,1464055,1727936
353.0514196,7341549,6857639,6760436,0,0,0
369.0463342,10682162,9390903,10473571,0,0,0
385.0412488,8491001,8095104,8459179,0,0,0
401.0361634,5914974,5706341,5334137,0,0,0
