code,soil,Forest,Treatment,Fenton,Goethite
PreHW1.csv,Soil_1,HW,PreFenton,PreFenton,PreGoethite
PreHW2.csv,Soil_2,HW,PreFenton,PreFenton,PreGoethite
PreHW3.csv,Soil_3,HW,PreFenton,PreFenton,PreGoethite
PreSW4.csv,Soil_4,SW,PreFenton,PreFenton,PreGoethite
PreSW5.csv,Soil_5,SW,PreFenton,PreFenton,PreGoethite
PreSW6.csv,Soil_6,SW,PreFenton,PreFenton,PreGoethite
PosFHW1.csv,Soil_7,HW,PostFenton,PostFenton,PreGoethite
PosFHW2.csv,Soil_8,HW,PostFenton,PostFenton,PreGoethite
PosFHW3.csv,Soil_9,HW,PostFenton,PostFenton,PreGoethite
PosSW10.csv,Soil_10,SW,PostFenton,PostFenton,PreGoethite
PosSW11.csv,Soil_11,SW,PostFenton,PostFenton,PreGoethite
PosSW12.csv,Soil_12,SW,PostFenton,PostFenton,PreGoethite
PreHWGt13.csv,Soil_13,HW,PreFentonGoethite,PreFenton,PostGoethite
PreHWGt14.csv,Soil_14,HW,PreFentonGoethite,PreFenton,PostGoethite
PreHWGt15.csv,Soil_15,HW,PreFentonGoethite,PreFenton,PostGoethite
PreSWGt16.csv,Soil_16,SW,PreFentonGoethite,PreFenton,PostGoethite
PreSWGt17.csv,Soil_17,SW,PreFentonGoethite,PreFenton,PostGoethite
PreSWGt18.csv,Soil_18,SW,PreFentonGoethite,PreFenton,PostGoethite
PosFHW.Gt1.csv,Soil_19,HW,PostFentonGoethite,PostFenton,PostGoethite
PosFHW.Gt2.csv,Soil_20,HW,PostFentonGoethite,PostFenton,PostGoethite
PosFHW.Gt3.csv,Soil_21,HW,PostFentonGoethite,PostFenton,PostGoethite
PosSW22.csv,Soil_22,SW,PostFentonGoethite,PostFenton,PostGoethite
PosSW23.csv,Soil_23,SW,PostFentonGoethite,PostFenton,PostGoethite
PosSW24.csv,Soil_24,SW,PostFentonGoethite,PostFenton,PostGoethite
