Mass,Forest,Fenton,PreGoethite,PostGoethite,adsorbed,new
255.233,HW,PostFenton,0,0,NA,NA
255.233,HW,PreFenton,0,0,NA,NA
255.233,SW,PostFenton,0,2150699.66666667,NA,new molecules
255.233,SW,PreFenton,0,0,NA,NA
281.1395,HW,PostFenton,0,0,NA,NA
281.1395,HW,PreFenton,0,0,NA,NA
281.1395,SW,PostFenton,0,1644233.33333333,NA,new molecules
281.1395,SW,PreFenton,0,0,NA,NA
281.2486,HW,PostFenton,0,2326703,NA,new molecules
281.2486,HW,PreFenton,0,0,NA,NA
281.2486,SW,PostFenton,0,3814783.33333333,NA,new molecules
281.2486,SW,PreFenton,0,0,NA,NA
283.1551,HW,PostFenton,0,0,NA,NA
283.1551,HW,PreFenton,0,0,NA,NA
283.1551,SW,PostFenton,0,1480849.5,NA,new molecules
283.1551,SW,PreFenton,0,0,NA,NA
283.2643,HW,PostFenton,4445489,5147162.33333333,not adsorbed,NA
283.2643,HW,PreFenton,2201857,2767164.66666667,NA,NA
283.2643,SW,PostFenton,3439946.66666667,6671102.33333333,not adsorbed,NA
283.2643,SW,PreFenton,4238668.66666667,3354782.66666667,not adsorbed,NA
285.1344,HW,PostFenton,0,0,NA,NA
285.1344,HW,PreFenton,0,0,NA,NA
285.1344,SW,PostFenton,0,1477414.5,NA,new molecules
285.1344,SW,PreFenton,0,0,NA,NA
287.2228,HW,PostFenton,0,0,NA,NA
287.2228,HW,PreFenton,0,0,NA,NA
287.2228,SW,PostFenton,0,0,NA,NA
287.2228,SW,PreFenton,2494251.33333333,4951783,NA,NA
293.1758,HW,PostFenton,0,0,NA,NA
293.1758,HW,PreFenton,0,0,NA,NA
293.1758,SW,PostFenton,0,2223623.66666667,NA,new molecules
293.1758,SW,PreFenton,0,1805039.33333333,NA,new molecules
293.1792,HW,PostFenton,0,2333073.33333333,NA,new molecules
293.1792,HW,PreFenton,0,0,NA,NA
293.1792,SW,PostFenton,0,2148275,NA,new molecules
293.1792,SW,PreFenton,0,0,NA,NA
295.1187,HW,PostFenton,0,1483725,NA,new molecules
295.1187,HW,PreFenton,0,0,NA,NA
295.1187,SW,PostFenton,0,2473886.33333333,NA,new molecules
295.1187,SW,PreFenton,1688358.33333333,1787790.33333333,NA,NA
295.1551,HW,PostFenton,0,0,NA,NA
295.1551,HW,PreFenton,0,0,NA,NA
295.1551,SW,PostFenton,0,1477283,NA,new molecules
295.1551,SW,PreFenton,0,0,NA,NA
297.0827,HW,PostFenton,0,0,NA,NA
297.0827,HW,PreFenton,0,0,NA,NA
297.0827,SW,PostFenton,1826558.66666667,0,NA,NA
297.0827,SW,PreFenton,0,0,NA,NA
297.098,HW,PostFenton,0,0,NA,NA
297.098,HW,PreFenton,0,0,NA,NA
297.098,SW,PostFenton,0,1619391.66666667,NA,new molecules
297.098,SW,PreFenton,0,0,NA,NA
297.1344,HW,PostFenton,0,1689712.66666667,NA,new molecules
297.1344,HW,PreFenton,0,1426656.66666667,NA,new molecules
297.1344,SW,PostFenton,0,3809433.66666667,NA,new molecules
297.1344,SW,PreFenton,1534436.33333333,2550678.33333333,NA,NA
297.1708,HW,PostFenton,0,0,NA,NA
297.1708,HW,PreFenton,0,0,NA,NA
297.1708,SW,PostFenton,0,1884008.5,NA,new molecules
297.1708,SW,PreFenton,0,0,NA,NA
297.2435,HW,PostFenton,0,1478521.5,NA,new molecules
297.2435,HW,PreFenton,0,0,NA,NA
297.2435,SW,PostFenton,0,0,NA,NA
297.2435,SW,PreFenton,0,0,NA,NA
298.1408,HW,PostFenton,0,0,NA,NA
298.1408,HW,PreFenton,0,0,NA,NA
298.1408,SW,PostFenton,0,1562952,NA,new molecules
298.1408,SW,PreFenton,0,1371417.5,NA,NA
299.0772,HW,PostFenton,0,0,NA,NA
299.0772,HW,PreFenton,0,0,NA,NA
299.0772,SW,PostFenton,1406415,0,NA,NA
299.0772,SW,PreFenton,0,0,NA,NA
299.1137,HW,PostFenton,0,1561881,NA,new molecules
299.1137,HW,PreFenton,0,0,NA,NA
299.1137,SW,PostFenton,1492179,2364481.66666667,NA,NA
299.1137,SW,PreFenton,0,0,NA,NA
299.15,HW,PostFenton,0,1962696.33333333,NA,new molecules
299.15,HW,PreFenton,0,1608492.33333333,NA,new molecules
299.15,SW,PostFenton,0,3873521.33333333,NA,new molecules
299.15,SW,PreFenton,0,2073256,NA,new molecules
299.1864,HW,PostFenton,0,0,NA,NA
299.1864,HW,PreFenton,0,1422744.5,NA,new molecules
299.1864,SW,PostFenton,0,2586528.66666667,NA,new molecules
299.1864,SW,PreFenton,1454626.5,2198274.33333333,NA,NA
299.2016,HW,PostFenton,0,2080377,NA,new molecules
299.2016,HW,PreFenton,0,0,NA,NA
299.2016,SW,PostFenton,0,0,NA,NA
299.2016,SW,PreFenton,0,0,NA,NA
300.1929,HW,PostFenton,0,1876604.66666667,NA,new molecules
300.1929,HW,PreFenton,2232144,3415984,NA,NA
300.1929,SW,PostFenton,0,2388345.66666667,NA,new molecules
300.1929,SW,PreFenton,1847763,3685177.66666667,NA,NA
301.1293,HW,PostFenton,0,1887098.33333333,NA,new molecules
301.1293,HW,PreFenton,0,0,NA,NA
301.1293,SW,PostFenton,0,2731339.66666667,NA,new molecules
301.1293,SW,PreFenton,0,0,NA,NA
301.1656,HW,PostFenton,0,1886676.66666667,NA,new molecules
301.1656,HW,PreFenton,0,1583416,NA,new molecules
301.1656,SW,PostFenton,0,3460944.66666667,NA,new molecules
301.1656,SW,PreFenton,0,2113305.33333333,NA,new molecules
301.202,HW,PostFenton,0,0,NA,NA
301.202,HW,PreFenton,0,1435716,NA,new molecules
301.202,SW,PostFenton,0,2760362.66666667,NA,new molecules
301.202,SW,PreFenton,0,2366495,NA,new molecules
303.0722,HW,PostFenton,1395955.66666667,0,NA,NA
303.0722,HW,PreFenton,0,0,NA,NA
303.0722,SW,PostFenton,1568293.5,0,NA,NA
303.0722,SW,PreFenton,0,0,NA,NA
303.1086,HW,PostFenton,0,0,NA,NA
303.1086,HW,PreFenton,0,0,NA,NA
303.1086,SW,PostFenton,1504553.5,0,NA,NA
303.1086,SW,PreFenton,0,0,NA,NA
303.1449,HW,PostFenton,0,0,NA,NA
303.1449,HW,PreFenton,0,0,NA,NA
303.1449,SW,PostFenton,0,2298546.66666667,NA,new molecules
303.1449,SW,PreFenton,0,0,NA,NA
303.1813,HW,PostFenton,0,0,NA,NA
303.1813,HW,PreFenton,0,0,NA,NA
303.1813,SW,PostFenton,0,1923810.33333333,NA,new molecules
303.1813,SW,PreFenton,0,0,NA,NA
303.2177,HW,PostFenton,0,0,NA,NA
303.2177,HW,PreFenton,0,0,NA,NA
303.2177,SW,PostFenton,0,3080783,NA,new molecules
303.2177,SW,PreFenton,1808635.33333333,2753350,NA,NA
305.1395,HW,PostFenton,0,0,NA,NA
305.1395,HW,PreFenton,0,0,NA,NA
305.1395,SW,PostFenton,0,1954551,NA,new molecules
305.1395,SW,PreFenton,0,1667494.5,NA,new molecules
305.1606,HW,PostFenton,0,0,NA,NA
305.1606,HW,PreFenton,0,0,NA,NA
305.1606,SW,PostFenton,0,1787642,NA,new molecules
305.1606,SW,PreFenton,0,0,NA,NA
305.1758,HW,PostFenton,0,0,NA,NA
305.1758,HW,PreFenton,0,0,NA,NA
305.1758,SW,PostFenton,0,1484924.5,NA,new molecules
