Mass,Forest,treatment,intensity
255.233,HW,PreFenton,0
281.1395,HW,PreFenton,0
281.2486,HW,PreFenton,0
283.1551,HW,PreFenton,0
285.1344,HW,PreFenton,0
287.2228,HW,PreFenton,0
293.1758,HW,PreFenton,0
293.1792,HW,PreFenton,0
295.1187,HW,PreFenton,0
295.1551,HW,PreFenton,0
297.0827,HW,PreFenton,0
297.098,HW,PreFenton,0
297.1344,HW,PreFenton,0
297.1708,HW,PreFenton,0
297.2435,HW,PreFenton,0
298.1408,HW,PreFenton,0
299.0772,HW,PreFenton,0
299.1137,HW,PreFenton,0
299.15,HW,PreFenton,0
299.1864,HW,PreFenton,0
299.2016,HW,PreFenton,0
301.1293,HW,PreFenton,0
301.1656,HW,PreFenton,0
301.202,HW,PreFenton,0
303.1086,HW,PreFenton,0
303.1449,HW,PreFenton,0
303.1813,HW,PreFenton,0
303.2177,HW,PreFenton,0
305.1395,HW,PreFenton,0
305.1606,HW,PreFenton,0
305.1758,HW,PreFenton,0
307.1187,HW,PreFenton,0
307.1398,HW,PreFenton,0
307.1551,HW,PreFenton,0
307.1949,HW,PreFenton,0
311.1864,HW,PreFenton,0
311.2228,HW,PreFenton,0
311.2955,HW,PreFenton,0
313.1769,HW,PreFenton,0
313.1809,HW,PreFenton,0
313.2021,HW,PreFenton,0
313.2384,HW,PreFenton,0
314.1358,HW,PreFenton,0
315.1238,HW,PreFenton,0
315.1966,HW,PreFenton,0
315.2177,HW,PreFenton,0
315.2541,HW,PreFenton,0
316.1514,HW,PreFenton,0
317.1759,HW,PreFenton,0
319.0857,HW,PreFenton,0
319.1762,HW,PreFenton,0
319.1915,HW,PreFenton,0
319.2126,HW,PreFenton,0
321.1191,HW,PreFenton,0
321.1555,HW,PreFenton,0
321.2071,HW,PreFenton,0
321.2105,HW,PreFenton,0
322.1408,HW,PreFenton,0
323.117,HW,PreFenton,0
323.1534,HW,PreFenton,0
324.1565,HW,PreFenton,0
325.0963,HW,PreFenton,0
325.1479,HW,PreFenton,0
325.1691,HW,PreFenton,0
326.1357,HW,PreFenton,0
327.1238,HW,PreFenton,0
327.1562,HW,PreFenton,0
327.1601,HW,PreFenton,0
327.1925,HW,PreFenton,0
329.1718,HW,PreFenton,0
332.1252,HW,PreFenton,0
333.2071,HW,PreFenton,0
333.2283,HW,PreFenton,0
335.117,HW,PreFenton,0
335.1898,HW,PreFenton,0
335.2075,HW,PreFenton,0
335.2228,HW,PreFenton,0
336.1565,HW,PreFenton,0
337.0963,HW,PreFenton,0
337.1504,HW,PreFenton,0
337.169,HW,PreFenton,0
337.2385,HW,PreFenton,0
338.1092,HW,PreFenton,0
338.1357,HW,PreFenton,0
339.1119,HW,PreFenton,0
339.1483,HW,PreFenton,0
339.1636,HW,PreFenton,0
339.1661,HW,PreFenton,0
339.1847,HW,PreFenton,0
339.2541,HW,PreFenton,0
341.1276,HW,PreFenton,0
341.1354,HW,PreFenton,0
341.176,HW,PreFenton,0
341.2334,HW,PreFenton,0
341.2697,HW,PreFenton,0
342.2035,HW,PreFenton,0
343.1585,HW,PreFenton,0
343.1915,HW,PreFenton,0
343.249,HW,PreFenton,0
345.1093,HW,PreFenton,0
346.1984,HW,PreFenton,0
347.117,HW,PreFenton,0
347.146,HW,PreFenton,0
347.2228,HW,PreFenton,0
348.1201,HW,PreFenton,0
348.13,HW,PreFenton,0
348.1565,HW,PreFenton,0
348.1929,HW,PreFenton,0
349.0413,HW,PreFenton,0
349.0963,HW,PreFenton,0
349.2054,HW,PreFenton,0
351.112,HW,PreFenton,0
351.1483,HW,PreFenton,0
351.1661,HW,PreFenton,0
351.1847,HW,PreFenton,0
351.2025,HW,PreFenton,0
352.125,HW,PreFenton,0
352.1879,HW,PreFenton,0
353.0912,HW,PreFenton,0
353.1276,HW,PreFenton,0
353.164,HW,PreFenton,0
353.2334,HW,PreFenton,0
355.1068,HW,PreFenton,0
355.1433,HW,PreFenton,0
355.1511,HW,PreFenton,0
355.1585,HW,PreFenton,0
355.1949,HW,PreFenton,0
355.249,HW,PreFenton,0
356.2191,HW,PreFenton,0
357.0861,HW,PreFenton,0
357.1377,HW,PreFenton,0
357.1741,HW,PreFenton,0
357.2071,HW,PreFenton,0
357.2647,HW,PreFenton,0
358.1062,HW,PreFenton,0
358.2348,HW,PreFenton,0
359.1534,HW,PreFenton,0
359.1824,HW,PreFenton,0
359.2228,HW,PreFenton,0
360.1929,HW,PreFenton,0
360.214,HW,PreFenton,0
361.0963,HW,PreFenton,0
361.1617,HW,PreFenton,0
361.2384,HW,PreFenton,0
361.2596,HW,PreFenton,0
362.1457,HW,PreFenton,0
362.1722,HW,PreFenton,0
362.2086,HW,PreFenton,0
363.1119,HW,PreFenton,0
364.1548,HW,PreFenton,0
365.0912,HW,PreFenton,0
365.1276,HW,PreFenton,0
365.164,HW,PreFenton,0
365.2334,HW,PreFenton,0
366.0986,HW,PreFenton,0
367.1069,HW,PreFenton,0
367.1432,HW,PreFenton,0
367.1796,HW,PreFenton,0
367.249,HW,PreFenton,0
367.2854,HW,PreFenton,0
368.0961,HW,PreFenton,0
369.0861,HW,PreFenton,0
369.1225,HW,PreFenton,0
369.1304,HW,PreFenton,0
369.1589,HW,PreFenton,0
369.1742,HW,PreFenton,0
369.2072,HW,PreFenton,0
369.2647,HW,PreFenton,0
370.2347,HW,PreFenton,0
371.0654,HW,PreFenton,0
371.1534,HW,PreFenton,0
371.1824,HW,PreFenton,0
371.1898,HW,PreFenton,0
372.1712,HW,PreFenton,0
372.1969,HW,PreFenton,0
372.2334,HW,PreFenton,0
373.0881,HW,PreFenton,0
373.0963,HW,PreFenton,0
373.0988,HW,PreFenton,0
373.1325,HW,PreFenton,0
373.1617,HW,PreFenton,0
373.1691,HW,PreFenton,0
374.1457,HW,PreFenton,0
374.1755,HW,PreFenton,0
374.2297,HW,PreFenton,0
375.0754,HW,PreFenton,0
375.1038,HW,PreFenton,0
375.1198,HW,PreFenton,0
375.1483,HW,PreFenton,0
376.1613,HW,PreFenton,0
376.1878,HW,PreFenton,0
376.2089,HW,PreFenton,0
377.0857,HW,PreFenton,0
377.1276,HW,PreFenton,0
377.1718,HW,PreFenton,0
377.2004,HW,PreFenton,0
377.2545,HW,PreFenton,0
378.1341,HW,PreFenton,0
378.1705,HW,PreFenton,0
379.1068,HW,PreFenton,0
379.1433,HW,PreFenton,0
379.1796,HW,PreFenton,0
379.1974,HW,PreFenton,0
