soil,Forest,Treatment,Mass,Class,intensity
Soil_1,HW,PreFenton,283.2643,Lipid,3375622
Soil_1,HW,PreFenton,309.1707,Lipid,1948730
Soil_1,HW,PreFenton,311.1136,Lignin,3010407
Soil_1,HW,PreFenton,311.15,Protein,2153837
Soil_1,HW,PreFenton,313.0929,Lignin,2605223
Soil_1,HW,PreFenton,313.1293,Lignin,2484397
Soil_1,HW,PreFenton,313.1657,Protein,2996915
Soil_1,HW,PreFenton,314.2085,Lipid,2208353
Soil_1,HW,PreFenton,315.0722,Tannin,11831284
Soil_1,HW,PreFenton,315.1449,Protein,2898433
Soil_1,HW,PreFenton,315.1813,Protein,2801671
Soil_1,HW,PreFenton,316.1878,Protein,2086582
Soil_1,HW,PreFenton,319.1187,Lignin,3037899
Soil_1,HW,PreFenton,321.0616,Lignin,4160575
Soil_1,HW,PreFenton,321.098,Lignin,3627078
Soil_1,HW,PreFenton,321.1344,Lignin,3514957
Soil_1,HW,PreFenton,323.0409,Lignin,3495882
Soil_1,HW,PreFenton,323.0772,Lignin,4932050
Soil_1,HW,PreFenton,323.0984,Carb,3027414
Soil_1,HW,PreFenton,323.1136,Lignin,4641241
Soil_1,HW,PreFenton,323.15,Lignin,3587553
Soil_1,HW,PreFenton,323.1864,Lipid,2762728
Soil_1,HW,PreFenton,325.0565,Lignin,4403567
Soil_1,HW,PreFenton,325.0929,Lignin,5132150
Soil_1,HW,PreFenton,325.1293,Lignin,4407166
Soil_1,HW,PreFenton,325.1657,Protein,3605382
Soil_1,HW,PreFenton,325.202,Lipid,3261838
Soil_1,HW,PreFenton,326.1721,Protein,2335327
Soil_1,HW,PreFenton,326.2085,Lipid,3283047
Soil_1,HW,PreFenton,327.1085,Lignin,4956461
Soil_1,HW,PreFenton,327.1449,Protein,4896053
Soil_1,HW,PreFenton,327.1813,Protein,3501885
Soil_1,HW,PreFenton,327.2177,Lipid,5615942
Soil_1,HW,PreFenton,328.1514,Protein,4401176
Soil_1,HW,PreFenton,328.1878,Protein,2683424
Soil_1,HW,PreFenton,328.2242,Lipid,3490344
Soil_1,HW,PreFenton,329.0878,Lignin,4081903
Soil_1,HW,PreFenton,329.1242,Lignin,3926263
Soil_1,HW,PreFenton,329.1394,Lignin,2614523
Soil_1,HW,PreFenton,329.1606,Protein,6452992
