"","Mass","Forest","PreFenton","PostFenton","loss","Treatment","rel_abund","perc","HC","OC"
"1",283.2643,"HW",2201857,4445489,"conserved","PostFenton",0.0515384565949347,"second 25 %",2,0.11
"2",283.2643,"HW",2201857,4445489,"conserved","PreFenton",0.0271734791252331,"lowest 25%",2,0.11
"3",283.2643,"SW",4238668.66666667,3439946.66666667,"conserved","PreFenton",0.0501282126632526,"second 25 %",2,0.11
"4",283.2643,"SW",4238668.66666667,3439946.66666667,"conserved","PostFenton",0.0411753949063771,"third 25 %",2,0.11
"5",287.2228,"SW",2494251.33333333,NA,"lost","PreFenton",0.0294980266460084,"third 25 %",2,0.25
"6",295.1187,"SW",1688358.33333333,NA,"lost","PreFenton",0.0199672095747142,"lowest 25%",1.33,0.4
"7",297.0827,"SW",NA,1826558.66666667,"gained","PostFenton",0.0218635001375018,"lowest 25%",1.8,1
"8",297.1344,"SW",1534436.33333333,NA,"lost","PreFenton",0.0181468656515783,"lowest 25%",1.47,0.4
"9",297.153,"HW",NA,2060882.66666667,"gained","PostFenton",0.0238926947886393,"lowest 25%",1.62,0.19
"10",297.153,"SW",NA,2376369.33333333,"gained","PostFenton",0.0284446112759705,"lowest 25%",1.62,0.19
"11",300.1929,"SW",1847763,NA,"lost","PreFenton",0.0218523937347834,"lowest 25%",1.93,0.29
"12",303.0722,"HW",NA,1395955.66666667,"gained","PostFenton",0.016183911496565,"lowest 25%",1.33,0.75
"13",303.2177,"SW",1808635.33333333,NA,"lost","PreFenton",0.0213896540988434,"lowest 25%",2,0.31
"14",307.0459,"SW",1671760.33333333,NA,"lost","PreFenton",0.0197709149031519,"lowest 25%",0.86,0.57
"15",307.0671,"HW",NA,1906654,"gained","PostFenton",0.022104655847885,"lowest 25%",1.45,0.91
"16",307.0823,"SW",1686699,NA,"lost","PreFenton",0.0199475856265471,"lowest 25%",1.07,0.47
"17",307.1398,"SW",2734344.33333333,NA,"lost","PreFenton",0.0323374637215237,"third 25 %",1.85,0.62
"18",307.1551,"SW",1651295.66666667,NA,"lost","PreFenton",0.0195288914652701,"lowest 25%",1.41,0.29
"19",309.0616,"HW",NA,1657396.66666667,"gained","PostFenton",0.0192149089032927,"lowest 25%",1,0.57
"20",309.0616,"SW",2665495,NA,"lost","PreFenton",0.0315232236158515,"third 25 %",1,0.57
"21",309.0827,"HW",NA,2048738,"gained","PostFenton",0.0237518964701956,"lowest 25%",1.64,0.91
"22",309.0827,"SW",NA,2274502.33333333,"gained","PostFenton",0.0272252859900374,"lowest 25%",1.64,0.91
"23",309.098,"HW",NA,1699556,"gained","PostFenton",0.0197036800983336,"lowest 25%",1.2,0.47
"24",309.098,"SW",2246342.33333333,1862856.33333333,"conserved","PreFenton",0.0265661543883669,"lowest 25%",1.2,0.47
"25",309.098,"SW",2246342.33333333,1862856.33333333,"conserved","PostFenton",0.0222979751174956,"lowest 25%",1.2,0.47
"26",309.1344,"SW",2013217.33333333,1787426.66666667,"conserved","PostFenton",0.0213950988192228,"lowest 25%",1.38,0.38
"27",309.1344,"SW",2013217.33333333,1787426.66666667,"conserved","PreFenton",0.0238091237034678,"lowest 25%",1.38,0.38
"28",309.1707,"HW",1766676.66666667,2068461.66666667,"conserved","PostFenton",0.0239805613793638,"lowest 25%",1.53,0.29
"29",309.1707,"HW",1766676.66666667,2068461.66666667,"conserved","PreFenton",0.0218028471071024,"lowest 25%",1.53,0.29
"30",309.1707,"SW",3191931.66666667,2430759.66666667,"conserved","PreFenton",0.037749076886226,"third 25 %",1.53,0.29
"31",309.1707,"SW",3191931.66666667,2430759.66666667,"conserved","PostFenton",0.0290956514434798,"lowest 25%",1.53,0.29
"32",309.1741,"HW",NA,2368920.66666667,"gained","PostFenton",0.0274639111593446,"lowest 25%",2.14,0.36
