"Mass","Forest","fenton","adsorbed","HC","OC","Class"
281.2486,"HW","PostFenton","new",1.89,0.11,"Aliphatic-noN"
283.2643,"HW","PostFenton","unbound",2,0.11,"Aliphatic-noN"
283.2643,"HW","PreFenton","unbound",2,0.11,"Aliphatic-noN"
293.1792,"HW","PostFenton","new",2.14,0.29,"Aliphatic-noN"
295.1187,"HW","PostFenton","new",1.33,0.4,"Lignin-like"
297.1344,"HW","PostFenton","new",1.47,0.4,"Lignin-like"
297.1344,"HW","PreFenton","new",1.47,0.4,"Lignin-like"
297.153,"HW","PostFenton","unbound",1.62,0.19,"Aliphatic-noN"
297.153,"HW","PreFenton","new",1.62,0.19,"Aliphatic-noN"
299.1136,"HW","PostFenton","new",1.43,0.5,"Lignin-like"
299.15,"HW","PostFenton","new",1.6,0.4,"Aliphatic-noN"
299.15,"HW","PreFenton","new",1.6,0.4,"Aliphatic-noN"
300.1929,"HW","PostFenton","new",1.93,0.29,"Aliphatic+N"
300.1929,"HW","PreFenton","new",1.93,0.29,"Aliphatic+N"
301.1293,"HW","PostFenton","new",1.57,0.5,"Aliphatic-noN"
301.1657,"HW","PostFenton","new",1.73,0.4,"Aliphatic-noN"
303.0722,"HW","PostFenton","sorbed",1.33,0.75,"Lignin-like"
307.0671,"HW","PostFenton","sorbed",1.45,0.91,"Lignin-like"
307.1187,"HW","PostFenton","new",1.25,0.38,"Lignin-like"
307.1551,"HW","PreFenton","new",1.41,0.29,"Lignin-like"
309.0616,"HW","PostFenton","sorbed",1,0.57,"Lignin-like"
309.0827,"HW","PostFenton","sorbed",1.64,0.91,"Carbohydrate-like"
309.098,"HW","PostFenton","unbound",1.2,0.47,"Lignin-like"
309.098,"HW","PreFenton","new",1.2,0.47,"Lignin-like"
309.1344,"HW","PostFenton","new",1.38,0.38,"Lignin-like"
309.1344,"HW","PreFenton","new",1.38,0.38,"Lignin-like"
309.1707,"HW","PostFenton","unbound",1.53,0.29,"Aliphatic-noN"
309.1707,"HW","PreFenton","unbound",1.53,0.29,"Aliphatic-noN"
309.1741,"HW","PostFenton","unbound",2.14,0.36,"Aliphatic-noN"
309.1741,"HW","PreFenton","new",2.14,0.36,"Aliphatic-noN"
311.0772,"HW","PostFenton","sorbed",1.14,0.57,"Lignin-like"
311.0772,"HW","PreFenton","sorbed",1.14,0.57,"Lignin-like"
311.1136,"HW","PostFenton","unbound",1.33,0.47,"Lignin-like"
311.1136,"HW","PreFenton","unbound",1.33,0.47,"Lignin-like"
311.15,"HW","PostFenton","unbound",1.5,0.38,"Aliphatic-noN"
311.15,"HW","PreFenton","unbound",1.5,0.38,"Aliphatic-noN"
311.1686,"HW","PostFenton","unbound",1.65,0.18,"Aliphatic-noN"
311.1686,"HW","PreFenton","unbound",1.65,0.18,"Aliphatic-noN"
311.1864,"HW","PostFenton","new",1.65,0.29,"Aliphatic-noN"
311.1864,"HW","PreFenton","new",1.65,0.29,"Aliphatic-noN"
312.1565,"HW","PostFenton","new",1.64,0.36,"Aliphatic+N"
312.1565,"HW","PreFenton","unbound",1.64,0.36,"Aliphatic+N"
313.0565,"HW","PostFenton","sorbed",1.08,0.69,"Lignin-like"
313.0929,"HW","PostFenton","unbound",1.29,0.57,"Lignin-like"
313.0929,"HW","PreFenton","sorbed",1.29,0.57,"Lignin-like"
313.1293,"HW","PostFenton","unbound",1.47,0.47,"Lignin-like"
313.1293,"HW","PreFenton","unbound",1.47,0.47,"Lignin-like"
313.1657,"HW","PostFenton","new",1.62,0.38,"Aliphatic-noN"
313.1657,"HW","PreFenton","unbound",1.62,0.38,"Aliphatic-noN"
313.1769,"HW","PreFenton","new",1.73,0.33,"Aliphatic+N"
313.2384,"HW","PreFenton","new",1.89,0.22,"Aliphatic-noN"
314.1358,"HW","PostFenton","new",1.62,0.46,"Aliphatic+N"
314.1358,"HW","PreFenton","new",1.62,0.46,"Aliphatic+N"
314.1721,"HW","PostFenton","new",1.79,0.36,"Aliphatic+N"
314.1721,"HW","PreFenton","new",1.79,0.36,"Aliphatic+N"
314.2085,"HW","PostFenton","new",1.93,0.27,"Aliphatic+N"
314.2085,"HW","PreFenton","unbound",1.93,0.27,"Aliphatic+N"
315.0722,"HW","PostFenton","sorbed",1.23,0.69,"Lignin-like"
315.0722,"HW","PreFenton","unbound",1.23,0.69,"Lignin-like"
315.1085,"HW","PostFenton","unbound",1.43,0.57,"Lignin-like"
315.1085,"HW","PreFenton","new",1.43,0.57,"Lignin-like"
315.1198,"HW","PreFenton","sorbed",1.54,0.54,"Aliphatic+N"
315.1449,"HW","PostFenton","unbound",1.6,0.47,"Aliphatic-noN"
315.1449,"HW","PreFenton","unbound",1.6,0.47,"Aliphatic-noN"
315.1813,"HW","PostFenton","new",1.75,0.38,"Aliphatic-noN"
315.1813,"HW","PreFenton","unbound",1.75,0.38,"Aliphatic-noN"
315.2177,"HW","PreFenton","new",1.88,0.29,"Aliphatic-noN"
316.1878,"HW","PostFenton","new",1.93,0.36,"Aliphatic+N"
316.1878,"HW","PreFenton","unbound",1.93,0.36,"Aliphatic+N"
317.0667,"HW","PreFenton","unbound",0.88,0.44,"Aromatic"
317.0878,"HW","PostFenton","sorbed",1.38,0.69,"Lignin-like"
317.1242,"HW","PostFenton","unbound",1.57,0.57,"Aliphatic-noN"
317.1394,"HW","PostFenton","new",1.22,0.28,"Lignin-like"
317.1394,"HW","PreFenton","unbound",1.22,0.28,"Lignin-like"
317.1606,"HW","PostFenton","new",1.73,0.47,"Aliphatic-noN"
317.1606,"HW","PreFenton","new",1.73,0.47,"Aliphatic-noN"
317.197,"HW","PostFenton","new",1.88,0.38,"Aliphatic-noN"
317.197,"HW","PreFenton","new",1.88,0.38,"Aliphatic-noN"
319.0459,"HW","PreFenton","sorbed",0.8,0.53,"Aromatic"
319.0671,"HW","PostFenton","sorbed",1.33,0.83,"Lignin-like"
319.0823,"HW","PreFenton","unbound",1,0.44,"Lignin-like"
319.0857,"HW","PreFenton","new",1.54,0.54,"Aliphatic-noN"
319.1035,"HW","PostFenton","sorbed",1.54,0.69,"Carbohydrate-like"
319.1187,"HW","PostFenton","unbound",1.18,0.35,"Lignin-like"
319.1187,"HW","PreFenton","unbound",1.18,0.35,"Lignin-like"
319.1398,"HW","PostFenton","new",1.71,0.57,"Aliphatic-noN"
319.1551,"HW","PostFenton","new",1.33,0.28,"Lignin-like"
319.1551,"HW","PreFenton","new",1.33,0.28,"Lignin-like"
319.2126,"HW","PreFenton","new",2,0.38,"Aliphatic-noN"
321.0252,"HW","PreFenton","sorbed",0.71,0.64,"Aromatic"
321.0463,"HW","PostFenton","sorbed",1.27,1,"Lignin-like"
321.0616,"HW","PostFenton","sorbed",0.93,0.53,"Lignin-like"
321.0616,"HW","PreFenton","unbound",0.93,0.53,"Lignin-like"
321.0827,"HW","PostFenton","unbound",1.5,0.83,"Carbohydrate-like"
321.0827,"HW","PreFenton","new",1.5,0.83,"Carbohydrate-like"
