"","Forest","Treatment","Mass","intensity"
"1","HW","PostFenton",283.2643,4445489
"2","HW","PostFenton",297.153,2060882.66666667
"3","HW","PostFenton",303.0722,1395955.66666667
"4","HW","PostFenton",307.0671,1906654
"5","HW","PostFenton",309.0616,1657396.66666667
"6","HW","PostFenton",309.0827,2048738
"7","HW","PostFenton",309.098,1699556
"8","HW","PostFenton",309.1707,2068461.66666667
"9","HW","PostFenton",309.1741,2368920.66666667
"10","HW","PostFenton",311.0772,2017431.33333333
"11","HW","PostFenton",311.1136,2487025.33333333
"12","HW","PostFenton",311.15,1643681.66666667
"13","HW","PostFenton",311.1686,14697806.3333333
"14","HW","PostFenton",313.0565,2168916.33333333
"15","HW","PostFenton",313.0929,2758062.66666667
"16","HW","PostFenton",313.1293,2762334.66666667
"17","HW","PostFenton",315.0722,2705525.66666667
"18","HW","PostFenton",315.1085,2628304.33333333
"19","HW","PostFenton",315.1449,2057941.66666667
"20","HW","PostFenton",317.0878,2547789
"21","HW","PostFenton",317.1242,1995175.33333333
"22","HW","PostFenton",319.0671,3488980.33333333
"23","HW","PostFenton",319.1035,1862021
"24","HW","PostFenton",319.1187,1684701
"25","HW","PostFenton",321.0463,2225597.33333333
"26","HW","PostFenton",321.0616,2201962
"27","HW","PostFenton",321.0827,7048302
"28","HW","PostFenton",321.098,2661318
"29","HW","PostFenton",321.1344,2407883.66666667
"30","HW","PostFenton",323.0409,2118239.33333333
"31","HW","PostFenton",323.062,5064461.66666667
"32","HW","PostFenton",323.0772,2999653.33333333
"33","HW","PostFenton",323.0984,5629716
"34","HW","PostFenton",323.1136,3504236
"35","HW","PostFenton",323.15,2442012.66666667
"36","HW","PostFenton",325.0201,1929057
"37","HW","PostFenton",325.0565,3113575.33333333
"38","HW","PostFenton",325.0776,5397781.66666667
"39","HW","PostFenton",325.0929,4236568.66666667
"40","HW","PostFenton",325.114,3223836.33333333
"41","HW","PostFenton",325.1293,4416457.66666667
"42","HW","PostFenton",325.1657,2010149.66666667
"43","HW","PostFenton",325.1843,23409107.6666667
"44","HW","PostFenton",327.0358,2386721.33333333
"45","HW","PostFenton",327.0722,4271400
"46","HW","PostFenton",327.0933,4794668
"47","HW","PostFenton",327.1085,5957423
"48","HW","PostFenton",327.1449,4473824
"49","HW","PostFenton",328.1514,2200987.33333333
"50","HW","PostFenton",329.0514,3649349.33333333
"51","HW","PostFenton",329.0878,4911265.66666667
"52","HW","PostFenton",329.1242,5205160.66666667
"53","HW","PostFenton",329.1606,4228101
"54","HW","PostFenton",330.1307,1630485.66666667
"55","HW","PostFenton",330.1671,2207772.66666667
"56","HW","PostFenton",331.0307,1515547.66666667
"57","HW","PostFenton",331.0459,1742622.66666667
"58","HW","PostFenton",331.0671,3952504.33333333
"59","HW","PostFenton",331.0823,1674107.33333333
"60","HW","PostFenton",331.1035,4231551.66666667
"61","HW","PostFenton",331.1187,1822168
"62","HW","PostFenton",331.1398,4171996.33333333
"63","HW","PostFenton",331.1551,1814495
"64","HW","PostFenton",331.1762,2594190
"65","HW","PostFenton",333.0252,1491631
"66","HW","PostFenton",333.0463,2630749.66666667
"67","HW","PostFenton",333.0616,2548491.66666667
"68","HW","PostFenton",333.0827,3563791.66666667
"69","HW","PostFenton",333.098,2655848.33333333
"70","HW","PostFenton",333.1191,2966124.66666667
"71","HW","PostFenton",333.1344,2928410.66666667
"72","HW","PostFenton",333.1555,2133962
"73","HW","PostFenton",335.0409,2764800.66666667
"74","HW","PostFenton",335.062,6302725.33333333
"75","HW","PostFenton",335.0772,3268275
"76","HW","PostFenton",335.0984,4100279.66666667
"77","HW","PostFenton",335.1136,4071952.33333333
"78","HW","PostFenton",335.1348,1821290.33333333
"79","HW","PostFenton",335.15,3173741.33333333
"80","HW","PostFenton",336.0936,1879780.33333333
