"C","H","N","O","S","P","Mass","HC","OC","DBE","CRAM","AI_mod","Class","KM","NKM","KMD"
12,16,0,12,0,0,351.0569,1.33,1,5,"O",-0.166666667,"HighUnsatLign",351.13808,351,0.13808
12,20,0,10,0,0,323.0984,1.67,0.83,3,"O",-0.285714286,"SatFatAcCarb",323.17308,323,0.17308
12,20,0,12,0,0,355.0882,1.67,1,3,"O",-0.5,"SatFatAcCarb",355.17031,355,0.17031
12,22,0,11,0,0,341.1089,1.83,0.92,2,"O",-0.538461538,"SatFatAcCarb",341.18781,341,0.18781
13,12,0,10,0,0,327.0358,0.92,0.77,8,"CRAM",0.375,"HighUnsatLign",327.11139,327,0.11139
13,14,0,10,0,0,329.0514,1.08,0.77,7,"O",0.25,"HighUnsatLign",329.12751,329,0.12751
13,16,0,9,0,0,315.0722,1.23,0.69,6,"O",0.176470588,"HighUnsatLign",315.14501,315,0.14501
13,18,0,12,0,0,365.0725,1.38,0.92,5,"O",-0.142857143,"HighUnsatLign",365.15697,365,0.15697
13,20,2,7,0,0,315.1198,1.54,0.54,5,"O",0.066666667,"Aliphat+N",315.19264,315,0.19264
13,22,0,11,0,0,353.1089,1.69,0.85,3,"O",-0.333333333,"SatFatAcCarb",353.19059,353,0.19059
13,24,0,10,1,0,371.1017,1.85,0.77,2,"O",-0.571428571,"SatFatAcCarb",371.18755,371,0.18755
13,24,0,12,1,0,403.0916,1.85,0.92,2,"O",-0.833333333,"SatFatAcCarb",403.18478,403,0.18478
14,10,0,9,0,0,321.0252,0.71,0.64,10,"O",0.578947368,"Aromatic",321.09944,321,0.09944
14,10,0,10,0,0,337.0201,0.71,0.71,10,"O",0.555555556,"Aromatic",337.09805,337,0.09805
14,10,0,11,0,0,353.015,0.71,0.79,10,"O",0.529411765,"Aromatic",353.09666,353,0.09666
14,12,0,9,0,0,323.0409,0.86,0.64,9,"CRAM",0.473684211,"HighUnsatLign",323.11555,323,0.11555
14,12,0,10,0,0,339.0358,0.86,0.71,9,"CRAM",0.444444444,"HighUnsatLign",339.11417,339,0.11417
14,12,0,11,0,0,355.0307,0.86,0.79,9,"CRAM",0.411764706,"HighUnsatLign",355.11278,355,0.11278
14,14,0,9,0,0,325.0565,1,0.64,8,"CRAM",0.368421053,"HighUnsatLign",325.13167,325,0.13167
14,14,0,10,0,0,341.0514,1,0.71,8,"CRAM",0.333333333,"HighUnsatLign",341.13028,341,0.13028
14,14,0,11,0,0,357.0463,1,0.79,8,"O",0.294117647,"HighUnsatLign",357.1289,357,0.1289
14,14,0,12,0,0,373.0412,1,0.86,8,"O",0.25,"HighUnsatLign",373.12751,373,0.12751
14,16,0,8,0,0,311.0772,1.14,0.57,7,"CRAM",0.3,"HighUnsatLign",311.14917,311,0.14917
14,16,0,9,0,0,327.0722,1.14,0.64,7,"CRAM",0.263157895,"HighUnsatLign",327.14779,327,0.14779
14,16,0,10,0,0,343.0671,1.14,0.71,7,"O",0.222222222,"HighUnsatLign",343.1464,343,0.1464
14,16,0,11,0,0,359.062,1.14,0.79,7,"O",0.176470588,"HighUnsatLign",359.14501,359,0.14501
14,17,5,8,0,0,382.1004,1.21,0.57,9,"CRAM",0.5,"HighUnsatLign",382.18879,382,0.18879
14,18,0,8,0,0,313.0929,1.29,0.57,6,"O",0.2,"HighUnsatLign",313.16529,313,0.16529
14,18,0,9,0,0,329.0878,1.29,0.64,6,"O",0.157894737,"HighUnsatLign",329.1639,329,0.1639
14,18,0,10,0,0,345.0827,1.29,0.71,6,"O",0.111111111,"HighUnsatLign",345.16251,345,0.16251
14,18,0,12,1,0,409.0446,1.29,0.86,6,"O",-0.142857143,"HighUnsatLign",409.13921,409,0.13921
14,20,0,9,0,0,331.1035,1.43,0.64,5,"O",0.052631579,"HighUnsatLign",331.18002,331,0.18002
14,20,0,10,0,0,347.0984,1.43,0.71,5,"O",0,"HighUnsatLign",347.17863,347,0.17863
14,20,0,11,0,0,363.0933,1.43,0.79,5,"O",-0.058823529,"HighUnsatLign",363.17724,363,0.17724
14,21,3,7,0,0,342.1307,1.5,0.5,6,"CRAM",0.133333333,"Aliphat+N",342.20979,342,0.20979
14,21,3,8,0,0,358.1256,1.5,0.57,6,"O",0.071428571,"Aliphat+N",358.2084,358,0.2084
14,22,0,9,0,0,333.1191,1.57,0.64,4,"O",-0.052631579,"SatFatAcCarb",333.19613,333,0.19613
14,22,0,11,0,0,365.1089,1.57,0.79,4,"O",-0.176470588,"SatFatAcCarb",365.19336,365,0.19336
14,22,0,12,0,0,381.1038,1.57,0.86,4,"O",-0.25,"SatFatAcCarb",381.19197,381,0.19197
14,22,0,12,1,0,413.0759,1.57,0.86,4,"O",-0.428571429,"SatFatAcCarb",413.17144,413,0.17144
14,22,2,8,0,0,345.1303,1.57,0.57,5,"O",0,"Aliphat+N",345.21014,345,0.21014
14,23,1,10,0,0,364.1249,1.64,0.71,4,"O",-0.1875,"SatFatAcCarb",364.20912,364,0.20912
14,23,3,5,0,0,312.1565,1.64,0.36,5,"CRAM",0.117647059,"Aliphat+N",312.22868,312,0.22868
14,23,3,6,0,0,328.1514,1.64,0.43,5,"CRAM",0.0625,"Aliphat+N",328.22729,328,0.22729
14,24,0,11,0,0,367.1246,1.71,0.79,3,"O",-0.294117647,"SatFatAcCarb",367.20948,367,0.20948
14,24,0,12,0,0,383.1195,1.71,0.86,3,"O",-0.375,"SatFatAcCarb",383.20809,383,0.20809
14,24,4,7,0,0,359.1572,1.71,0.5,5,"O",-0.076923077,"Aliphat+N",359.24027,359,0.24027
14,25,3,6,0,0,330.1671,1.79,0.43,4,"O",-0.0625,"Aliphat+N",330.2434,330,0.2434
14,25,3,7,0,0,346.162,1.79,0.5,4,"O",-0.133333333,"Aliphat+N",346.24202,346,0.24202
14,26,0,7,1,0,337.1326,1.86,0.5,2,"O",-0.263157895,"UnSatAliph_noN",337.2106,337,0.2106
14,26,0,10,1,0,385.1174,1.86,0.71,2,"O",-0.5,"SatFatAcCarb",385.20644,385,0.20644
14,26,0,12,1,0,417.1072,1.86,0.86,2,"O",-0.714285714,"SatFatAcCarb",417.20367,417,0.20367
14,26,0,13,1,0,433.1021,1.86,0.93,2,"O",-0.846153846,"SatFatAcCarb",433.20228,433,0.20228
14,26,4,6,0,0,345.178,1.86,0.43,4,"O",-0.142857143,"Aliphat+N",345.25777,345,0.25777
14,27,3,5,0,0,316.1878,1.93,0.36,3,"O",-0.117647059,"Aliphat+N",316.26091,316,0.26091
15,8,0,9,0,0,331.0096,0.53,0.6,12,"O",0.714285714,"CondAr",331.0861,331,0.0861
15,10,0,9,0,0,333.0252,0.67,0.6,11,"O",0.619047619,"Aromatic",333.10221,333,0.10221
15,10,0,10,0,0,349.0201,0.67,0.67,11,"O",0.6,"Aromatic",349.10083,349,0.10083
15,10,0,11,0,0,365.015,0.67,0.73,11,"O",0.578947368,"Aromatic",365.09944,365,0.09944
15,10,0,12,0,0,381.0099,0.67,0.8,11,"O",0.555555556,"Aromatic",381.09805,381,0.09805
15,12,0,8,0,0,319.0459,0.8,0.53,10,"CRAM",0.545454545,"Aromatic",319.11972,319,0.11972
15,12,0,9,0,0,335.0409,0.8,0.6,10,"CRAM",0.523809524,"Aromatic",335.11833,335,0.11833
15,12,0,10,0,0,351.0358,0.8,0.67,10,"CRAM",0.5,"HighUnsatLign",351.11694,351,0.11694
15,12,0,11,0,0,367.0307,0.8,0.73,10,"CRAM",0.473684211,"HighUnsatLign",367.11555,367,0.11555
15,12,0,12,0,0,383.0256,0.8,0.8,10,"CRAM",0.444444444,"HighUnsatLign",383.11417,383,0.11417
15,12,0,13,0,0,399.0205,0.8,0.87,10,"O",0.411764706,"HighUnsatLign",399.11278,399,0.11278
15,14,0,8,0,0,321.0616,0.93,0.53,9,"CRAM",0.454545455,"HighUnsatLign",321.13583,321,0.13583
15,14,0,9,0,0,337.0565,0.93,0.6,9,"CRAM",0.428571429,"HighUnsatLign",337.13444,337,0.13444
15,14,0,10,0,0,353.0514,0.93,0.67,9,"CRAM",0.4,"HighUnsatLign",353.13306,353,0.13306
15,14,0,11,0,0,369.0463,0.93,0.73,9,"CRAM",0.368421053,"HighUnsatLign",369.13167,369,0.13167
15,14,0,12,0,0,385.0412,0.93,0.8,9,"O",0.333333333,"HighUnsatLign",385.13028,385,0.13028
15,16,0,8,0,0,323.0772,1.07,0.53,8,"CRAM",0.363636364,"HighUnsatLign",323.15195,323,0.15195
