Mass,HC,OC
255.233,2,0.12
281.1395,1.47,0.33
281.2486,1.89,0.11
283.1551,1.6,0.33
285.1344,1.57,0.43
287.2228,2,0.25
293.1758,1.53,0.24
293.1792,2.14,0.29
295.1187,1.33,0.4
295.1551,1.5,0.31
297.0827,1.8,1
297.098,1.29,0.5
297.1344,1.47,0.4
297.1708,1.62,0.31
297.2435,1.89,0.17
298.1408,1.62,0.38
299.0772,1.23,0.62
299.1137,1.43,0.5
299.15,1.6,0.4
299.1864,1.75,0.31
299.2016,1.4,0.1
301.1293,1.57,0.5
301.1656,1.73,0.4
301.202,1.88,0.31
303.1086,1.54,0.62
303.1449,1.71,0.5
303.1813,1.87,0.4
303.2177,2,0.31
305.1395,1.29,0.29
305.1606,1.86,0.5
305.1758,1.44,0.22
307.1187,1.25,0.38
307.1398,1.85,0.62
307.1551,1.41,0.29
307.1949,2.13,0.27
311.1864,1.65,0.29
311.2228,1.78,0.22
311.2955,2,0.1
313.1769,1.73,0.33
313.1809,1.3,0.15
313.2021,1.76,0.29
313.2384,1.89,0.22
314.1358,1.62,0.46
315.1238,1.11,0.28
315.1966,1.4,0.15
315.2177,1.88,0.29
315.2541,2,0.22
316.1514,1.77,0.46
317.1759,1.37,0.21
319.0857,1.54,0.54
319.1762,1.87,0.47
319.1915,1.47,0.21
319.2126,2,0.38
321.1191,1.69,0.69
321.1555,1.86,0.57
321.2071,1.58,0.21
321.2105,2.12,0.25
322.1408,1.4,0.33
323.117,1.85,0.54
323.1534,2,0.43
324.1565,1.53,0.33
325.0963,1.83,0.67
325.1479,1.53,0.24
325.1691,2.14,0.43
326.1357,1.5,0.43
327.1238,1.05,0.26
327.1562,1.6,0.4
327.1601,1.2,0.2
327.1925,1.75,0.31
329.1718,1.73,0.4
332.1252,1.19,0.31
333.2071,1.5,0.2
333.2283,2,0.35
335.117,1.71,0.5
335.1898,2,0.31
335.2075,2,0.44
335.2228,1.6,0.2
336.1565,1.44,0.31
337.0963,1.69,0.62
337.1504,1.86,0.64
337.169,2,0.4
337.2385,1.7,0.2
338.1092,1.75,0.83
338.1357,1.4,0.4
339.1119,1.85,0.62
339.1483,2,0.5
339.1636,1.56,0.22
339.1661,2,0.64
339.1847,2.13,0.4
339.2541,1.8,0.2
341.1276,2,0.62
341.1354,1.47,0.47
341.176,1.24,0.19
341.2334,1.79,0.26
341.2697,1.9,0.2
342.2035,1.81,0.31
343.1585,1.65,0.29
343.1915,1.33,0.19
343.249,1.89,0.26
345.1093,1.06,0.35
346.1984,1.93,0.4
347.117,1.6,0.47
347.146,1.71,0.57
347.2228,1.52,0.19
348.1201,1.19,0.38
348.13,1.64,0.64
348.1565,1.35,0.29
348.1929,1.5,0.22
349.0413,1.17,1
349.0963,1.57,0.57
349.2054,2,0.29
351.112,1.71,0.57
351.1483,1.87,0.47
351.1661,1.87,0.6
351.1847,2,0.38
351.2025,2,0.5
352.125,1.77,0.77
352.1879,1.59,0.29
353.0912,1.69,0.69
353.1276,1.86,0.57
353.164,2,0.47
353.2334,1.7,0.25
355.1068,1.85,0.69
355.1433,2,0.57
355.1511,1.5,0.44
355.1585,1.56,0.28
355.1949,1.68,0.21
355.249,1.8,0.25
356.2191,1.82,0.29
357.0861,1.83,0.83
357.1377,1.53,0.35
357.1741,1.67,0.28
357.2071,1.36,0.18
357.2647,1.9,0.25
358.1062,1.47,0.47
358.2348,1.94,0.29
359.1534,1.65,0.35
359.1824,1.75,0.44
359.2228,1.45,0.18
360.1929,1.42,0.21
360.214,1.94,0.38
361.0963,1.47,0.53
361.1617,1.73,0.53
361.2384,1.55,0.18
361.2596,2,0.32
362.1457,1.67,0.6
362.1722,1.39,0.28
362.2086,1.53,0.21
363.1119,1.6,0.53
364.1548,1.93,0.43
365.0912,1.57,0.64
365.1276,1.73,0.53
365.164,1.88,0.44
365.2334,1.62,0.24
366.0986,1.92,0.23
367.1069,1.71,0.64
367.1432,1.87,0.53
367.1796,2,0.44
367.249,1.71,0.24
367.2854,1.82,0.18
368.0961,0.95,0.2
369.0861,1.69,0.77
369.1225,1.86,0.64
369.1304,1.38,0.5
369.1589,2,0.53
369.1742,1.58,0.26
369.2072,1.3,0.17
369.2647,1.81,0.24
370.2347,1.83,0.28
371.0654,1.67,0.92
371.1534,1.56,0.33
371.1824,1.65,0.41
371.1898,1.68,0.26
372.1712,2.36,0.43
372.1969,1.08,0.08
372.2334,1.19,0.04
373.0881,1.44,0.38
373.0963,1.38,0.5
373.0988,1.83,1.08
373.1325,1.53,0.41
373.1617,1.62,0.5
373.1691,1.67,0.33
374.1457,1.56,0.56
374.1755,1.81,0.31
374.2297,1.94,0.35
375.0754,1.33,0.6
375.1038,1.56,0.38
375.1198,1.11,0.39
375.1483,1.65,0.41
376.1613,1.69,0.56
376.1878,1.42,0.26
376.2089,1.94,0.44
377.0857,1.73,0.07
377.1276,1.62,0.5
377.1718,1.37,0.32
377.2004,1.89,0.33
377.2545,2,0.37
378.1341,1.79,0.5
378.1705,1.93,0.4
379.1068,1.6,0.6
379.1433,1.75,0.5
379.1796,1.88,0.41
379.1974,1.88,0.53
379.216,2,0.33
380.1351,1.28,0.44
380.1497,1.93,0.5
381.1225,1.73,0.6
381.1313,1.44,0.17
381.1589,1.88,0.5
381.1953,2,0.41
381.2647,1.73,0.23
382.0935,1.92,0.31
383.1017,1.71,0.71
383.1292,1.56,0.06
383.1381,1.87,0.6
383.1559,1.87,0.73
383.1746,2,0.5
383.2228,1.33,0.17
383.2803,1.82,0.23
385.081,1.69,0.85
385.1449,1.67,0.06
385.1538,2,0.6
385.1616,1.53,0.47
385.1691,1.58,0.32
386.2126,1.12,0.08
386.2297,1.83,0.33
387.1117,1.41,0.47
387.1484,1.56,0.39
387.2752,1.9,0.29
388.0935,2.21,0.07
388.125,1.44,0.62
388.1919,1.08,0.12
388.2089,1.82,0.41
389.1639,1.67,0.39
389.2909,2,0.29
390.1405,1.56,0.62
390.2035,1.45,0.25
390.2068,1.94,0.29
391.1875,1.4,0.3
391.249,1.57,0.22
391.2523,2,0.25
392.1351,1.21,0.42
392.1562,1.69,0.62
393.1224,1.62,0.56
393.1589,1.76,0.47
393.1953,1.89,0.39
393.2317,2,0.32
393.2646,1.65,0.22
394.1653,1.93,0.47
395.1012,1.24,0.41
395.1018,1.6,0.67
395.1381,1.75,0.56
395.1745,1.88,0.47
395.2109,2,0.39
397.1174,1.73,0.67
397.1538,1.88,0.56
397.1715,1.88,0.69
397.1902,2,0.47
397.2596,1.73,0.27
399.0966,1.71,0.79
399.1241,1.56,0.11
399.1427,1.93,0.67
399.2752,1.82,0.27
400.1919,1.04,0.12
401.1123,1.86,0.79
401.13,1.86,0.93
401.1487,2,0.67
401.1737,1.63,0.37
402.2075,1.12,0.12
402.2439,1.22,0.07
403.0986,1.47,0.41
403.1067,1.41,0.53
403.1432,1.56,0.44
403.1893,1.74,0.37
403.2701,1.9,0.33
403.3065,2,0.27
405.1223,1.53,0.53
405.1347,1.76,0.18
405.1436,2.14,0.79
405.1589,1.67,0.44
405.1953,1.79,0.37
405.2647,1.58,0.21
406.2347,1.57,0.24
407.1137,0.87,0.3
407.138,1.65,0.53
407.1745,1.78,0.44
407.2109,1.89,0.37
407.265,2,0.4
409.1174,1.62,0.62
409.1657,1.08,0.25
409.1902,1.89,0.44
409.2079,1.89,0.56
409.2266,2,0.37
409.2596,1.65,0.26
410.1066,0.95,0.23
410.1667,1.81,0.69
410.2218,2.06,0.39
410.2297,1.65,0.3
411.1695,1.88,0.53
411.1871,1.88,0.65
411.2752,1.74,0.26
412.1041,0.9,0.38
412.1223,1.05,0.23
412.2283,1.11,0.07
413.1123,1.73,0.73
413.122,1.8,0.73
413.1487,1.88,0.62
413.1663,1.88,0.75
414.2075,1.07,0.11
415.0915,1.71,0.86
415.128,1.87,0.73
415.1456,1.87,0.87
415.1644,2,0.62
416.2038,1.72,0.44
417.1686,1.63,0.42
417.2646,1.52,0.2
417.2858,1.91,0.32
418.1984,1.38,0.29
419.1672,1.65,0.59
419.2109,1.8,0.35
419.3014,2,0.32
420.1512,1.59,0.65
421.0811,1.38,0.69
421.1172,1.21,0.37
421.1635,1.72,0.5
421.1902,1.79,0.42
421.2443,1.9,0.45
423.1694,1.78,0.5
423.1791,1.83,0.5
423.2058,1.89,0.42
423.2752,1.67,0.25
424.209,1.55,0.35
424.2257,1.64,0.23
425.1122,1.62,0.69
425.1487,1.76,0.59
425.1762,1.62,0.05
425.1851,1.89,0.5
425.2027,1.89,0.61
425.3636,1.92,0.15
426.1196,0.95,0.36
427.128,1.75,0.69
427.2701,1.74,0.3
428.1172,1.05,0.27
428.2402,1.75,0.35
428.2595,1.21,0.07
429.2647,1.46,0.19
429.2858,1.83,0.3
430.1041,2.06,0.12
430.1578,1,0.12
430.2025,1.07,0.15
430.2195,1.74,0.42
430.2388,1.18,0.11
431.0962,1.79,0.93
432.1197,2.19,0.12
432.1988,1.72,0.5
433.2806,1.91,0.36
433.3323,1.7,0.15
434.1933,1.38,0.33
435.1621,1.65,0.65
435.1694,1.68,0.47
435.2058,1.8,0.4
435.2235,1.8,0.5
435.2752,1.6,0.24
435.2962,2,0.36
437.122,1.59,0.65
437.1487,1.67,0.56
437.1851,1.79,0.47
437.2028,1.79,0.58
437.2215,1.9,0.4
437.2391,1.9,0.5
439.1644,1.78,0.56
439.182,1.78,0.67
439.2008,1.89,0.47
439.2126,1.23,0.23
439.2701,1.67,0.29
440.1171,1,0.26
440.2038,1.55,0.4
441.2164,2,0.47
441.2647,1.41,0.19
441.2857,1.75,0.29
442.1831,1.53,0.47
442.2195,1.65,0.4
442.2388,1.14,0.1
443.2803,1.48,0.19
444.1988,1.63,0.47
445.1021,1.73,0.87
445.1199,1.73,1
445.2807,1.83,0.35
445.2959,1.56,0.19
447.1177,1.87,0.87
447.2599,1.82,0.41
449.1947,1.75,0.45
449.2756,1.91,0.41
449.2907,1.62,0.23
449.2909,1.62,0.23
450.1616,1.61,0.67
451.2104,1.85,0.45
451.2128,1.19,0.22
451.2184,1.8,0.55
451.2548,1.9,0.48
453.18,1.79,0.53
453.1977,1.79,0.63
453.2164,1.9,0.45
453.2857,1.68,0.28
455.0863,1.5,0.81
455.1786,2,0.15
455.1957,1.89,0.53
455.2803,1.43,0.18
455.3014,1.76,0.28
456.1988,1.55,0.45
457.2806,1.75,0.33
457.296,1.5,0.18
459.2963,1.83,0.33
461.2756,1.83,0.39
462.1302,2.18,0.18
462.2093,1.74,0.53
463.1035,0.8,0.36
463.1127,0.44,0.03
463.2548,1.82,0.45
463.3065,1.63,0.22
465.1191,0.88,0.36
465.1977,1.7,0.6
465.2341,1.81,0.52
465.2705,1.91,0.45
467.1958,1.8,0.5
467.2133,1.8,0.6
467.244,1.29,0.21
467.2497,1.9,0.52
467.3015,1.69,0.27
469.1846,1.84,0.58
469.1926,1.79,0.68
469.2807,1.68,0.32
469.2959,1.45,0.17
470.1277,1.04,0.29
470.1515,1.71,0.82
471.2963,1.76,0.32
471.3116,1.52,0.17
472.1494,1.82,0.71
473.2756,1.75,0.38
473.3273,1.59,0.17
474.1287,1.81,0.81
475.1128,0.43,0.03
475.2548,1.74,0.43
475.2913,1.83,0.38
475.3066,1.57,0.21
477.1283,0.49,0.03
477.1355,1.55,0.45
477.2705,1.83,0.43
479.0984,0.8,0.4
479.1348,0.92,0.35
479.2497,1.82,0.5
480.1723,1.63,0.68
481.1846,1.75,0.55
481.229,1.81,0.57
481.2596,1.31,0.21
481.2654,1.91,0.5
482.1278,1,0.28
482.1642,1.12,0.23
482.1668,1.32,0.5
483.1816,1.57,0.13
483.2003,1.85,0.55
483.2083,1.8,0.65
483.2963,1.69,0.31
483.2997,2.09,0.35
483.3116,1.47,0.17
484.1252,1.82,0.41
484.2048,1.07,0.1
485.1973,1,0.2
485.2062,1.9,0.55
485.2215,1.58,0.33
485.3121,1.77,0.31
485.3484,1.85,0.26
486.1464,1.71,0.88
487.2912,1.76,0.36
488.1886,1.55,0.55
488.1996,1.1,0.14
488.236,1.2,0.1
489.2202,1.17,0.13
489.2705,1.75,0.42
489.3069,1.84,0.36
489.3222,1.59,0.21
491.1537,1.94,0.82
491.2498,1.74,0.48
491.2861,1.83,0.42
493.1141,0.85,0.38
493.1675,1.58,0.68
493.2655,1.83,0.48
493.3171,1.64,0.25
494.188,1.65,0.65
495.1639,1.65,0.6
495.2389,1.24,0.24
495.2446,1.82,0.55
495.2811,1.91,0.48
496.1824,1.35,0.48
497.161,1.45,0.32
497.1795,1.75,0.6
497.2239,1.81,0.62
497.2909,1.4,0.2
497.312,1.7,0.3
499.1854,1.8,0.6
499.241,1.16,0.09
499.2913,1.69,0.35
501.192,1,0.23
501.2679,1.45,0.17
501.2705,1.68,0.4
501.3069,1.77,0.35
502.154,1.16,0.32
503.2862,1.76,0.4
505.1338,1.94,0.56
505.1693,1.03,0.21
505.1747,1.55,0.5
505.229,1.65,0.52
505.2654,1.75,0.46
505.3019,1.84,0.4
506.1202,2.06,0.28
506.1991,1.65,0.6
507.0932,0.77,0.42
507.146,0.88,0.06
507.1832,1.6,0.65
507.1904,1.64,0.5
507.2447,1.74,0.52
507.2811,1.83,0.46
507.3328,1.66,0.24
509.1454,0.96,0.37
509.2181,1.17,0.28
509.2239,1.73,0.59
509.2545,1.27,0.23
509.312,1.64,0.29
511.2395,1.82,0.59
511.2701,1.33,0.23
512.1984,1.75,0.7
512.211,1.25,0.21
512.2361,1.12,0.09
513.2188,1.81,0.67
513.3069,1.7,0.33
513.3103,2.08,0.38
513.3221,1.48,0.19
515.2708,2,0.59
515.2781,1.73,0.31
515.2835,1.47,0.17
515.2861,1.69,0.38
516.2309,1.16,0.13
516.2674,1.25,0.09
517.1046,1.53,1.06
517.229,1.58,0.5
517.2654,1.68,0.44
517.3018,1.77,0.38
519.2446,1.67,0.5
519.281,1.76,0.44
520.1357,2.05,0.26
521.1609,1.36,0.16
521.2238,1.65,0.57
521.2603,1.75,0.5
523.1612,1,0.36
523.2337,1.2,0.27
523.2395,1.74,0.57
523.325,1.45,0.09
523.3277,1.66,0.28
525.2189,1.73,0.64
525.2552,1.83,0.57
526.2518,1.15,0.09
527.19,1.76,0.62
527.2344,1.82,0.64
527.3226,1.71,0.32
528.1514,1.04,0.42
528.231,1.12,0.12
528.2674,1.21,0.09
529.2137,1.81,0.71
529.2501,1.91,0.64
529.2688,2,0.48
529.3018,1.7,0.37
529.3052,2.08,0.42
529.3171,1.48,0.23
529.3382,1.79,0.32
531.1486,1.74,0.79
531.2447,1.6,0.48
531.3327,1.55,0.23
533.2604,1.68,0.48
533.2968,1.77,0.42
533.3484,1.61,0.23
535.0882,0.74,0.44
535.1516,1.78,1
535.2033,1.57,0.61
535.2396,1.67,0.54
535.276,1.76,0.48
537.1767,1.03,0.34
537.2188,1.65,0.61
537.2553,1.75,0.54
537.3069,1.59,0.31
537.3433,1.67,0.27
539.0468,0.64,0.56
539.1923,1.1,0.34
539.2345,1.74,0.61
539.2709,1.83,0.54
539.3073,1.92,0.48
539.3226,1.66,0.31
540.1933,1.67,0.71
540.2675,1.18,0.09
541.2501,1.83,0.61
541.2807,1.35,0.26
541.3018,1.64,0.36
541.3382,1.72,0.31
541.4484,2,0.03
542.2466,1.15,0.12
542.2831,1.24,0.09
543.2296,1.82,0.68
543.2784,1.42,0.19
543.2811,1.63,0.41
543.2963,1.42,0.26
543.3175,1.71,0.36
544.2623,1.21,0.12
545.2604,1.62,0.46
545.2968,1.7,0.41
545.312,1.48,0.26
547.134,0.5,0.08
547.2396,1.6,0.52
547.2761,1.69,0.46
547.3125,1.78,0.41
547.3277,1.55,0.26
548.2097,1.59,0.59
549.2552,1.68,0.52
549.2917,1.77,0.46
549.3433,1.61,0.26
551.2346,1.67,0.58
551.271,1.76,0.52
551.3226,1.6,0.3
553.1352,0.93,0.43
553.1716,1.03,0.38
553.208,1.13,0.33
553.2138,1.65,0.65
553.2503,1.75,0.58
553.3383,1.67,0.3
554.2831,1.2,0.09
555.1872,1.1,0.38
555.2294,1.74,0.65
555.26,1.29,0.29
555.2659,1.83,0.58
555.3176,1.66,0.34
556.1707,0.55,0.02
556.2623,1.18,0.12
556.2988,1.26,0.09
557.2756,1.35,0.29
557.2968,1.64,0.39
557.3332,1.72,0.34
559.2242,1.82,0.73
559.2397,1.54,0.5
559.276,1.63,0.44
559.3124,1.71,0.39
559.3277,1.5,0.25
559.4861,2.09,0.12
560.183,1.75,0.85
561.1496,0.54,0.07
561.2036,1.81,0.81
561.2552,1.62,0.5
561.2916,1.7,0.44
561.3069,1.48,0.29
561.3281,1.79,0.39
563.1384,1.74,0.89
563.2709,1.69,0.5
563.3073,1.78,0.44
563.3225,1.55,0.29
565.1354,0.9,0.41
565.1445,0.55,0.1
565.2502,1.68,0.56
565.2866,1.77,0.5
565.3383,1.61,0.29
566.2203,1.68,0.64
567.1508,0.97,0.41
567.2295,1.67,0.62
567.2658,1.76,0.56
567.3175,1.6,0.33
569.0937,0.81,0.52
569.1666,1.03,0.41
569.2393,1.23,0.32
569.2451,1.75,0.62
569.2757,1.31,0.28
569.2968,1.59,0.38
569.3332,1.67,0.33
570.144,1.04,0.36
570.2038,1.68,0.73
571.2243,1.74,0.7
571.276,1.57,0.43
571.2912,1.38,0.28
571.3125,1.66,0.38
571.3488,1.73,0.33
572.1594,1.11,0.36
573.2553,1.56,0.48
573.2764,1.92,0.62
573.2917,1.64,0.43
573.3069,1.44,0.28
573.3314,2.08,0.42
573.3644,1.8,0.33
575.2346,1.54,0.54
575.271,1.63,0.48
575.3073,1.71,0.43
575.3226,1.5,0.28
577.1444,0.54,0.1
577.1808,0.62,0.07
577.2502,1.62,0.54
577.2866,1.7,0.48
577.3019,1.48,0.32
577.3383,1.56,0.28
579.149,1.31,0.27
579.16010000000006,0.59,0.1
579.2658,1.69,0.54
579.3023,1.78,0.48
579.3176,1.55,0.32
580.1569,2.05,0.33
581.2029,1.1,0.35
581.2088,1.58,0.67
581.2452,1.68,0.6
581.2815,1.77,0.54
581.2967,1.53,0.37
581.3331,1.61,0.32
581.3695,1.69,0.28
583.1185,0.51,0.15
583.1822,1.07,0.4
583.2185,1.16,0.35
583.2244,1.67,0.67
583.255,1.25,0.31
583.3125,1.6,0.37
583.3488,1.68,0.32
583.3853,1.75,0.28
585.1745,1.27,0.07
585.1978,1.13,0.4
585.2342,1.23,0.35
585.2401,1.75,0.67
585.2918,1.59,0.41
585.3282,1.67,0.37
585.3646,1.74,0.32
585.4008,1.81,0.28
586.3094,1.28,0.11
587.2709,1.57,0.46
587.2862,1.38,0.31
587.3074,1.66,0.41
588.1781,1.67,0.86
589.2502,1.56,0.52
589.2866,1.64,0.46
589.3018,1.44,0.31
591.1415,1.6,1
591.1965,0.65,0.07
591.2659,1.63,0.52
591.3023,1.71,0.46
591.3176,1.5,0.31
593.1646,1.33,0.26
593.1758,0.62,0.1
593.2814,1.7,0.52
593.2967,1.48,0.35
593.3332,1.56,0.31
594.1726,2.05,0.32
595.155,0.59,0.12
595.3124,1.55,0.35
595.3489,1.62,0.31
596.1518,2.05,0.38
597.1252,0.9,0.48
597.1978,1.1,0.39
597.2341,1.19,0.34
597.2402,1.68,0.64
597.2705,1.27,0.3
597.2917,1.53,0.4
597.3281,1.61,0.35
599.1043,0.86,0.54
599.2135,1.16,0.39
599.25,1.25,0.34
599.2557,1.76,0.64
599.271,1.52,0.45
599.2862,1.33,0.3
599.3074,1.6,0.4
599.3438,1.68,0.35
601.2502,1.5,0.5
601.2654,1.31,0.34
601.2867,1.59,0.45
601.3018,1.39,0.3
601.323,1.67,0.4
601.3956,1.81,0.31
601.396,1.81,0.31
602.2315,1.12,0.21
603.2659,1.57,0.5
603.281,1.38,0.34
603.3023,1.66,0.45
603.3175,1.45,0.3
603.328,1.56,0.15
605.2604,1.35,0.39
605.2816,1.64,0.5
605.2968,1.44,0.34
605.3333,1.52,0.3
607.1305,1.04,0.59
607.2761,1.42,0.39
607.297,1.71,0.5
607.3125,1.5,0.34
607.349,1.58,0.3
609.1461,1.11,0.59
609.1706,0.62,0.12
609.2917,1.48,0.39
609.3282,1.56,0.34
610.0957,0.89,0.32
611.1771,1.03,0.42
611.2194,1.6,0.68
611.3074,1.55,0.39
611.3438,1.62,0.34
