"Mass","Forest","Treatment","rel_abund","perc","HC","OC"
283.2643,"HW","PostFenton",0.0515384565949347,"second 25 %",2,0.11
283.2643,"SW","PostFenton",0.0411753949063771,"third 25 %",2,0.11
283.2643,"HW","PreFenton",0.0271734791252331,"lowest 25%",2,0.11
283.2643,"SW","PreFenton",0.0501282126632526,"second 25 %",2,0.11
287.2228,"SW","PreFenton",0.0294980266460084,"third 25 %",2,0.25
295.1187,"SW","PreFenton",0.0199672095747142,"lowest 25%",1.33,0.4
297.0827,"SW","PostFenton",0.0218635001375018,"lowest 25%",1.8,1
297.1344,"SW","PreFenton",0.0181468656515783,"lowest 25%",1.47,0.4
297.153,"HW","PostFenton",0.0238926947886393,"lowest 25%",1.62,0.19
297.153,"SW","PostFenton",0.0284446112759705,"lowest 25%",1.62,0.19
300.1929,"SW","PreFenton",0.0218523937347834,"lowest 25%",1.93,0.29
303.0722,"HW","PostFenton",0.016183911496565,"lowest 25%",1.33,0.75
303.2177,"SW","PreFenton",0.0213896540988434,"lowest 25%",2,0.31
307.0459,"SW","PreFenton",0.0197709149031519,"lowest 25%",0.86,0.57
307.0671,"HW","PostFenton",0.022104655847885,"lowest 25%",1.45,0.91
307.0823,"SW","PreFenton",0.0199475856265471,"lowest 25%",1.07,0.47
307.1398,"SW","PreFenton",0.0323374637215237,"third 25 %",1.85,0.62
307.1551,"SW","PreFenton",0.0195288914652701,"lowest 25%",1.41,0.29
309.0616,"HW","PostFenton",0.0192149089032927,"lowest 25%",1,0.57
309.0616,"SW","PreFenton",0.0315232236158515,"third 25 %",1,0.57
309.0827,"HW","PostFenton",0.0237518964701956,"lowest 25%",1.64,0.91
309.0827,"SW","PostFenton",0.0272252859900374,"lowest 25%",1.64,0.91
309.098,"SW","PostFenton",0.0222979751174956,"lowest 25%",1.2,0.47
309.098,"HW","PostFenton",0.0197036800983336,"lowest 25%",1.2,0.47
309.098,"SW","PreFenton",0.0265661543883669,"lowest 25%",1.2,0.47
309.1344,"SW","PostFenton",0.0213950988192228,"lowest 25%",1.38,0.38
309.1344,"SW","PreFenton",0.0238091237034678,"lowest 25%",1.38,0.38
309.1707,"SW","PreFenton",0.037749076886226,"third 25 %",1.53,0.29
309.1707,"HW","PreFenton",0.0218028471071024,"lowest 25%",1.53,0.29
309.1707,"SW","PostFenton",0.0290956514434798,"lowest 25%",1.53,0.29
309.1707,"HW","PostFenton",0.0239805613793638,"lowest 25%",1.53,0.29
309.1741,"HW","PostFenton",0.0274639111593446,"lowest 25%",2.14,0.36
309.1741,"SW","PostFenton",0.0271406596657955,"lowest 25%",2.14,0.36
311.0772,"HW","PreFenton",0.0271834384448683,"lowest 25%",1.14,0.57
311.0772,"SW","PostFenton",0.0273052281414995,"lowest 25%",1.14,0.57
311.0772,"HW","PostFenton",0.0233889448846372,"lowest 25%",1.14,0.57
311.0772,"SW","PreFenton",0.0301905336220297,"third 25 %",1.14,0.57
311.0984,"SW","PostFenton",0.0231945553130033,"lowest 25%",1.82,0.91
311.1136,"SW","PostFenton",0.0465682662700946,"third 25 %",1.33,0.47
311.1136,"SW","PreFenton",0.0390361169564285,"third 25 %",1.33,0.47
311.1136,"HW","PreFenton",0.0298068120931706,"lowest 25%",1.33,0.47
311.1136,"HW","PostFenton",0.0288331491074441,"lowest 25%",1.33,0.47
311.15,"SW","PostFenton",0.0275055503414624,"lowest 25%",1.5,0.38
311.15,"HW","PostFenton",0.0190559050384311,"lowest 25%",1.5,0.38
311.15,"HW","PreFenton",0.0210955256132072,"lowest 25%",1.5,0.38
311.15,"SW","PreFenton",0.0330274832103426,"third 25 %",1.5,0.38
311.1686,"HW","PostFenton",0.170397959313644,"top 25 %",1.65,0.18
311.1686,"SW","PreFenton",0.0897256383998501,"top 25 %",1.65,0.18
311.1686,"SW","PostFenton",0.190282298037705,"top 25 %",1.65,0.18
311.1686,"HW","PreFenton",0.0945575446719783,"top 25 %",1.65,0.18
312.1565,"HW","PreFenton",0.0179548885158123,"lowest 25%",1.64,0.36
313.0565,"HW","PostFenton",0.0251451753234672,"lowest 25%",1.08,0.69
313.0565,"SW","PostFenton",0.0266600611446307,"lowest 25%",1.08,0.69
313.0565,"SW","PreFenton",0.0207299220334414,"lowest 25%",1.08,0.69
313.0929,"SW","PostFenton",0.0368447135844804,"third 25 %",1.29,0.57
313.0929,"SW","PreFenton",0.027742822562068,"third 25 %",1.29,0.57
313.0929,"HW","PreFenton",0.0261593439442853,"lowest 25%",1.29,0.57
313.0929,"HW","PostFenton",0.031975400913625,"third 25 %",1.29,0.57
313.1293,"SW","PreFenton",0.0393122004409486,"third 25 %",1.47,0.47
