soil,Mass,Class,intensity,Forest,Treatment,Fenton,Goethite
Soil_1,283.2643,Lipid,3375622,HW,PreFenton,PreFenton,PreGoethite
Soil_1,309.1707,Lipid,1948730,HW,PreFenton,PreFenton,PreGoethite
Soil_1,311.1136,Lignin,3010407,HW,PreFenton,PreFenton,PreGoethite
Soil_1,311.15,Protein,2153837,HW,PreFenton,PreFenton,PreGoethite
Soil_1,313.0929,Lignin,2605223,HW,PreFenton,PreFenton,PreGoethite
Soil_1,313.1293,Lignin,2484397,HW,PreFenton,PreFenton,PreGoethite
Soil_1,313.1657,Protein,2996915,HW,PreFenton,PreFenton,PreGoethite
Soil_1,314.2085,Lipid,2208353,HW,PreFenton,PreFenton,PreGoethite
Soil_1,315.0722,Tannin,11831284,HW,PreFenton,PreFenton,PreGoethite
Soil_1,315.1449,Protein,2898433,HW,PreFenton,PreFenton,PreGoethite
Soil_1,315.1813,Protein,2801671,HW,PreFenton,PreFenton,PreGoethite
Soil_1,316.1878,Protein,2086582,HW,PreFenton,PreFenton,PreGoethite
Soil_1,319.1187,Lignin,3037899,HW,PreFenton,PreFenton,PreGoethite
Soil_1,321.0616,Lignin,4160575,HW,PreFenton,PreFenton,PreGoethite
Soil_1,321.098,Lignin,3627078,HW,PreFenton,PreFenton,PreGoethite
Soil_1,321.1344,Lignin,3514957,HW,PreFenton,PreFenton,PreGoethite
Soil_1,323.0409,Lignin,3495882,HW,PreFenton,PreFenton,PreGoethite
Soil_1,323.0772,Lignin,4932050,HW,PreFenton,PreFenton,PreGoethite
Soil_1,323.0984,Carb,3027414,HW,PreFenton,PreFenton,PreGoethite
Soil_1,323.1136,Lignin,4641241,HW,PreFenton,PreFenton,PreGoethite
Soil_1,323.15,Lignin,3587553,HW,PreFenton,PreFenton,PreGoethite
Soil_1,323.1864,Lipid,2762728,HW,PreFenton,PreFenton,PreGoethite
Soil_1,325.0565,Lignin,4403567,HW,PreFenton,PreFenton,PreGoethite
Soil_1,325.0929,Lignin,5132150,HW,PreFenton,PreFenton,PreGoethite
Soil_1,325.1293,Lignin,4407166,HW,PreFenton,PreFenton,PreGoethite
Soil_1,325.1657,Protein,3605382,HW,PreFenton,PreFenton,PreGoethite
Soil_1,325.202,Lipid,3261838,HW,PreFenton,PreFenton,PreGoethite
Soil_1,326.1721,Protein,2335327,HW,PreFenton,PreFenton,PreGoethite
Soil_1,326.2085,Lipid,3283047,HW,PreFenton,PreFenton,PreGoethite
Soil_1,327.1085,Lignin,4956461,HW,PreFenton,PreFenton,PreGoethite
Soil_1,327.1449,Protein,4896053,HW,PreFenton,PreFenton,PreGoethite
Soil_1,327.1813,Protein,3501885,HW,PreFenton,PreFenton,PreGoethite
Soil_1,327.2177,Lipid,5615942,HW,PreFenton,PreFenton,PreGoethite
Soil_1,328.1514,Protein,4401176,HW,PreFenton,PreFenton,PreGoethite
Soil_1,328.1878,Protein,2683424,HW,PreFenton,PreFenton,PreGoethite
Soil_1,328.2242,Lipid,3490344,HW,PreFenton,PreFenton,PreGoethite
Soil_1,329.0878,Lignin,4081903,HW,PreFenton,PreFenton,PreGoethite
Soil_1,329.1242,Lignin,3926263,HW,PreFenton,PreFenton,PreGoethite
Soil_1,329.1394,Lignin,2614523,HW,PreFenton,PreFenton,PreGoethite
Soil_1,329.1606,Protein,6452992,HW,PreFenton,PreFenton,PreGoethite
Soil_1,329.197,Protein,3550472,HW,PreFenton,PreFenton,PreGoethite
Soil_1,329.2333,Lipid,8968977,HW,PreFenton,PreFenton,PreGoethite
Soil_1,330.1671,Protein,3404268,HW,PreFenton,PreFenton,PreGoethite
Soil_1,330.2034,Protein,7197685,HW,PreFenton,PreFenton,PreGoethite
Soil_1,331.1035,Lignin,2475213,HW,PreFenton,PreFenton,PreGoethite
Soil_1,331.1187,Lignin,3845840,HW,PreFenton,PreFenton,PreGoethite
Soil_1,331.1398,Protein,2762453,HW,PreFenton,PreFenton,PreGoethite
Soil_1,331.1551,Lignin,3414233,HW,PreFenton,PreFenton,PreGoethite
