"","Forest","Fenton","Class","rel_abund","relabund_hsd"
"1","HW","PostFenton","AminoSugar",3.26,"3.26 ± 0.05 a"
"2","HW","PostFenton","Carb",15.62,"15.62 ± 0.35 a"
"3","HW","PostFenton","ConHC",1.32,"1.32 ± 0.11 b"
"4","HW","PostFenton","Lignin",55.42,"55.42 ± 0.17 b"
"5","HW","PostFenton","Lipid",0.24,"0.24 ± 0 b"
"6","HW","PostFenton","Protein",10.87,"10.87 ± 0.2 b"
"7","HW","PostFenton","Tannin",13.27,"13.27 ± 0.15 a"
"8","HW","PreFenton","AminoSugar",2.11,"2.11 ± 0.1 b"
"9","HW","PreFenton","Carb",5.26,"5.26 ± 0.08 b"
"10","HW","PreFenton","ConHC",2.08,"2.08 ± 0.05 a"
"11","HW","PreFenton","Lignin",60.11,"60.11 ± 0.77 a"
"12","HW","PreFenton","Lipid",1.99,"1.99 ± 0.06 a"
"13","HW","PreFenton","Protein",19.74,"19.74 ± 0.69 a"
"14","HW","PreFenton","Tannin",8.72,"8.72 ± 0.12 b"
"15","SW","PostFenton","AminoSugar",5.27,"5.27 ± 0.16 a"
"16","SW","PostFenton","Carb",17.15,"17.15 ± 1.21 a"
"17","SW","PostFenton","ConHC",1.02,"1.02 ± 0.14 b"
"18","SW","PostFenton","Lignin",49.51,"49.51 ± 0.66 b"
"19","SW","PostFenton","Lipid",0.28,"0.28 ± 0.02 b"
"20","SW","PostFenton","Protein",15.8,"15.8 ± 1.18 b"
"21","SW","PostFenton","Tannin",10.97,"10.97 ± 0.58 a"
"22","SW","PreFenton","AminoSugar",2.26,"2.26 ± 0.02 b"
"23","SW","PreFenton","Carb",4.21,"4.21 ± 0.08 b"
"24","SW","PreFenton","ConHC",1.95,"1.95 ± 0.03 a"
"25","SW","PreFenton","Lignin",57.83,"57.83 ± 0.36 a"
"26","SW","PreFenton","Lipid",2.24,"2.24 ± 0.05 a"
"27","SW","PreFenton","Protein",24.37,"24.37 ± 0.33 a"
"28","SW","PreFenton","Tannin",7.15,"7.15 ± 0.04 b"
