"Mass","HC","OC"
351.0569,1.33,1
323.0984,1.67,0.83
355.0882,1.67,1
341.1089,1.83,0.92
327.0358,0.92,0.77
329.0514,1.08,0.77
315.0722,1.23,0.69
365.0725,1.38,0.92
315.1198,1.54,0.54
353.1089,1.69,0.85
371.1017,1.85,0.77
403.0916,1.85,0.92
321.0252,0.71,0.64
337.0201,0.71,0.71
353.015,0.71,0.79
323.0409,0.86,0.64
339.0358,0.86,0.71
355.0307,0.86,0.79
325.0565,1,0.64
341.0514,1,0.71
357.0463,1,0.79
373.0412,1,0.86
311.0772,1.14,0.57
327.0722,1.14,0.64
343.0671,1.14,0.71
359.062,1.14,0.79
382.1004,1.21,0.57
313.0929,1.29,0.57
329.0878,1.29,0.64
345.0827,1.29,0.71
409.0446,1.29,0.86
331.1035,1.43,0.64
347.0984,1.43,0.71
363.0933,1.43,0.79
342.1307,1.5,0.5
358.1256,1.5,0.57
333.1191,1.57,0.64
365.1089,1.57,0.79
381.1038,1.57,0.86
413.0759,1.57,0.86
345.1303,1.57,0.57
364.1249,1.64,0.71
312.1565,1.64,0.36
328.1514,1.64,0.43
367.1246,1.71,0.79
383.1195,1.71,0.86
359.1572,1.71,0.5
330.1671,1.79,0.43
346.162,1.79,0.5
337.1326,1.86,0.5
385.1174,1.86,0.71
417.1072,1.86,0.86
433.1021,1.86,0.93
345.178,1.86,0.43
316.1878,1.93,0.36
331.0096,0.53,0.6
333.0252,0.67,0.6
349.0201,0.67,0.67
365.015,0.67,0.73
381.0099,0.67,0.8
319.0459,0.8,0.53
335.0409,0.8,0.6
351.0358,0.8,0.67
367.0307,0.8,0.73
383.0256,0.8,0.8
399.0205,0.8,0.87
321.0616,0.93,0.53
337.0565,0.93,0.6
353.0514,0.93,0.67
369.0463,0.93,0.73
385.0412,0.93,0.8
323.0772,1.07,0.53
339.0722,1.07,0.6
355.0671,1.07,0.67
371.062,1.07,0.73
387.0569,1.07,0.8
403.0518,1.07,0.87
354.0831,1.13,0.6
325.0929,1.2,0.53
341.0878,1.2,0.6
357.0827,1.2,0.67
373.0776,1.2,0.73
389.0725,1.2,0.8
311.1136,1.33,0.47
327.1085,1.33,0.53
343.1035,1.33,0.6
359.0984,1.33,0.67
375.0933,1.33,0.73
391.0882,1.33,0.8
439.0552,1.33,0.87
354.1307,1.4,0.47
313.1293,1.47,0.47
329.1242,1.47,0.53
345.1191,1.47,0.6
361.114,1.47,0.67
377.1089,1.47,0.73
393.1038,1.47,0.8
409.0988,1.47,0.87
385.1365,1.47,0.53
340.1514,1.53,0.4
356.1463,1.53,0.47
