"","Mass","HW","SW"
"1",283.2643,2201857,4238668.66666667
"2",287.2228,,2494251.33333333
"3",295.1187,,1688358.33333333
"4",297.1344,,1534436.33333333
"5",299.1864,,1454626.5
"6",300.1929,2232144,1847763
"7",303.2177,,1808635.33333333
"8",307.046,1624113.5,1671760.33333333
"9",307.0823,1597495.5,1686699
"10",307.1187,,1746942.5
"11",307.1398,,2734344.33333333
"12",307.1551,,1651295.66666667
"13",309.0252,1490794.5,
"14",309.0616,2146800.5,2665495
"15",309.098,2141558.5,2246342.33333333
"16",309.1344,1842300.5,2013217.33333333
"17",309.1707,1766676.66666667,3191931.66666667
"18",311.0409,1738486.5,1849820.5
"19",311.0773,2202664,2552807.33333333
"20",311.1136,2415235,3300759.33333333
"21",311.15,1709362.66666667,2792690
"22",311.1864,,1481587.5
"23",312.1565,1454878,
"24",313.0565,1716495.5,1752850.66666667
"25",313.0929,2119682,2345837.33333333
"26",313.1293,2108508.66666667,3324104
"27",313.1657,2236173,4033912.33333333
"28",314.1722,1866708.5,1512383.66666667
"29",314.2085,2015662.66666667,1998960
"30",315.0146,1545964,
"31",315.051,1714610.5,1694794.66666667
"32",315.0722,8558562,9188686
"33",315.0874,1600121.5,1837093.66666667
"34",315.1086,1753597,2220286.33333333
"35",315.1198,1884905.66666667,1670400.33333333
"36",315.1238,,1537537
"37",315.1449,2067694,3140868
"38",315.1813,2439582.33333333,4421812.66666667
"39",315.1966,,2370913.66666667
"40",315.2177,,1711290.33333333
"41",316.1514,,1417553.33333333
"42",316.1878,1853590.66666667,2388396.33333333
"43",317.0303,1765602,1772001.33333333
"44",317.0667,2117159.33333333,2481554.33333333
"45",317.0878,,1467724.5
"46",317.103,1814256,1980653.33333333
"47",317.1064,3452440.5,5225112.66666667
"48",317.1394,1564937,1675478
"49",317.1606,1928058.5,2128630.66666667
"50",317.197,1853057.5,2540967.66666667
"51",319.0459,2865869.66666667,2808117
"52",319.0823,2783529.33333333,2700603
"53",319.1187,2278874.33333333,2564588.33333333
"54",319.1551,1719933,2117959.66666667
"55",319.1915,,1585985.5
"56",319.2126,,5024764
"57",321.0252,2750936,2658787.66666667
"58",321.0616,3680222.66666667,3748842.33333333
"59",321.0827,1544308,1569577.5
"60",321.098,2939535.33333333,3537904.66666667
"61",321.1344,3099115.33333333,3651063.33333333
"62",321.1555,,2100393
"63",321.1708,2127943.33333333,2440104.33333333
"64",323.0409,3268087.66666667,3454630.33333333
"65",323.0772,4104873.33333333,4773549
"66",323.0984,2303405.33333333,2310235.66666667
"67",323.1136,3923632.33333333,4347913.33333333
"68",323.1347,1912270.5,
"69",323.15,3137037,4372837
"70",323.1864,1965758.33333333,2585793.33333333
"71",325.0201,2123977,1683909
"72",325.0565,3914110,4186486.66666667
"73",325.0929,4148954.33333333,4544893.66666667
"74",325.1293,3901495,4892890
"75",325.1657,3262526.33333333,4895968.66666667
"76",325.202,2581659,3423122.33333333
"77",326.1721,2066610.66666667,1793273
"78",326.2085,2825913.66666667,2216362.66666667
"79",327.0147,1538188,
"80",327.0358,1776483,1867597.66666667
"81",327.051,1795771.66666667,1942011.66666667
"82",327.0721,3485973.33333333,4164693
"83",327.0874,1969347,2102018.66666667
"84",327.1085,3971698.33333333,4986972.33333333
"85",327.1449,3939108,6190520.66666667
"86",327.1635,1749806.5,
"87",327.1813,2855553,4029205.33333333
"88",327.2177,4683742.33333333,5567772.33333333
"89",328.1514,3800567,3671512
"90",328.1878,2548393,2151221
"91",328.2242,2836998,2329745.33333333
"92",329.0303,2323634.33333333,2088758
"93",329.0514,1821622.66666667,2132709.33333333
"94",329.0666,2711055.66666667,2406973.66666667
"95",329.0878,3443817.66666667,4984642
"96",329.1031,2197015.33333333,2409797
"97",329.1242,3097969.33333333,4209822.66666667
"98",329.1354,2251904,1927746.5
"99",329.1394,2081140.66666667,2727244.66666667
"100",329.1606,6369145.33333333,22230182
"101",329.1758,2335794.5,4023807
"102",329.197,2871425,3845464.33333333
