C,H,N,O,S,P,,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,,PreSWGt16.csv,PreSWGt17.csv,PreSWGt18.csv,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
12,16,0,12,0,0,,351.0568988,,2094388,2063171,2137102,,,5946271,5492242,5158689,,1.333333333,1,,351.05690,5,0.416666667,0.3125,0.416666667,O,,,-0.166666667,,----,----,HUnSatLig,----,----,----,,351.13808,351.00000,0.13808
12,18,0,10,0,0,,321.0827196,,NA,NA,NA,,,1948631,2093288,1931867,,1.5,0.833333333,,321.08272,4,0.333333333,0.222222222,0.4,O,,,-0.142857143,,----,----,----,----,SatFACarb,----,,321.15697,321.00000,0.15697
12,18,0,13,0,0,,369.0674634,,2643235,3711689,2520371,,,7255319,6162112,6103996,,1.5,1.083333333,,369.06746,4,0.333333333,0.222222222,0.307692308,O,,,-0.454545455,,----,----,----,----,SatFACarb,----,,369.15280,369.00000,0.15280
12,20,0,10,0,0,,323.0983696,,2114022,2421934,2394751,,,2672001,1977955,1848312,,1.666666667,0.833333333,,323.09837,3,0.25,0.15,0.3,O,,,-0.285714286,,----,----,----,----,SatFACarb,----,,323.17308,323.00000,0.17308
12,20,0,11,0,0,,339.0932842,,1657910,2013595,2270569,,,1480559,2130387,1835624,,1.666666667,0.916666667,,339.09328,3,0.25,0.15,0.272727273,O,,,-0.384615385,,----,----,----,----,SatFACarb,----,,339.17169,339.00000,0.17169
12,22,0,11,0,0,,341.1089342,,1683534,1761906,1619815,,,NA,NA,NA,,1.833333333,0.916666667,,341.10893,2,0.166666667,0.090909091,0.181818182,O,,,-0.538461538,,----,----,----,----,SatFACarb,----,,341.18781,341.00000,0.18781
13,10,0,10,0,0,,325.0201196,,1783353,1671958,1596416,,,NA,NA,NA,,0.769230769,0.769230769,,325.02012,9,0.692307692,0.9,0.9,O,,,0.5,,----,----,HUnSatLig,----,----,----,,325.09528,325.00000,0.09528
13,12,0,10,0,0,,327.0357696,,1932976,1799834,1869983,,,NA,NA,NA,,0.923076923,0.769230769,,327.03577,8,0.615384615,0.666666667,0.8,CRAM,,,0.375,,----,----,HUnSatLig,----,----,----,,327.11139,327.00000,0.11139
13,12,0,11,0,0,,343.0306842,,1442661,1897791,1829210,,,NA,NA,NA,,0.923076923,0.846153846,,343.03068,8,0.615384615,0.666666667,0.727272727,O,,,0.333333333,,----,----,HUnSatLig,----,----,----,,343.11000,343.00000,0.11000
13,14,0,9,0,0,,313.056505,,1607667,2094316,1556569,,,NA,NA,NA,,1.076923077,0.692307692,,313.05650,7,0.538461538,0.5,0.777777778,CRAM,,,0.294117647,,----,----,HUnSatLig,----,----,----,,313.12889,313.00000,0.12889
13,14,0,10,0,0,,329.0514196,,2126907,2135593,2135628,,,NA,NA,NA,,1.076923077,0.769230769,,329.05142,7,0.538461538,0.5,0.7,O,,,0.25,,----,----,HUnSatLig,----,----,----,,329.12751,329.00000,0.12751
13,16,0,9,0,0,,315.072155,,8896774,9570611,9098673,,,1668141,1867198,2322128,,1.230769231,0.692307692,,315.07215,6,0.461538462,0.375,0.666666667,O,,,0.176470588,,----,----,HUnSatLig,----,----,----,,315.14501,315.00000,0.14501
