mass,PreSW4.csv,PreSW5.csv,PreSW6.csv,PreSWGt16.csv,PreSWGt17.csv,PreSWGt18.csv
357.025205,3557230,3513249,3953911,0,0,0
373.0201196,5054705,5359361,5002174,0,0,0
369.025205,3288851,3367101,3960615,0,0,0
385.0201196,3943746,3892944,3734605,0,0,0
401.0150342,4697231,4060740,3594229,0,0,0
417.0099488,3706969,3302019,2879778,0,0,0
367.0459404,3288612,2589335,3008725,0,0,0
395.040855,3117573,2811581,3244156,0,0,0
411.0357696,3926080,3491776,3237610,0,0,0
337.0201196,3404075,3405764,3133803,0,0,0
333.025205,3117443,2946653,3399103,0,0,0
349.0201196,4771470,4616488,4309956,0,0,0
365.0150342,4629791,4674143,5160560,0,0,0
335.040855,4726608,5133327,5528979,0,0,0
345.025205,3871660,3859754,3680111,0,0,0
361.0201196,5431096,5687806,5494194,0,0,0
377.0150342,4948646,5126947,5164074,0,0,0
393.0099488,3004448,3411793,3760908,0,0,0
331.0459404,3672534,3808959,3610624,0,0,0
347.040855,6538261,6062887,6298007,0,0,0
363.0357696,8984112,8932404,9336855,0,0,0
379.0306842,9452913,8385832,9192017,0,0,0
389.0150342,4798964,4663868,4797408,0,0,0
405.0099488,4050591,3738630,4339089,0,0,0
343.0459404,3917161,3572547,4122974,0,0,0
375.0357696,9332697,8816924,9373183,0,0,0
391.0306842,9161761,8361942,8168839,0,0,0
407.0255988,7087963,6920376,6823464,0,0,0
423.0205134,3300150,3147390,3165806,0,0,0
355.0459404,2987171,3163518,3779237,0,0,0
371.040855,6111756,5592296,5759356,0,0,0
387.0357696,7698351,6552724,6670886,0,0,0
403.0306842,7988660,8212280,7533784,0,0,0
419.0255988,5711895,5499542,5921534,0,0,0
435.0205134,3173993,3147976,3530510,0,0,0
357.0615904,5098876,4849067,5003522,0,0,0
405.0463342,11550371,11315210,10958228,0,0,0
383.040855,4273860,4168961,3988070,0,0,0
399.0357696,5506876,4985142,5579505,0,0,0
415.0306842,5546103,5110363,5288748,0,0,0
431.0255988,4639816,3978634,3960935,0,0,0
447.0205134,3119149,2963961,2905698,0,0,0
369.0615904,4496161,4681415,4644657,0,0,0
385.056505,6610253,6384344,6250581,0,0,0
401.0514196,8682644,8349257,8813561,0,0,0
417.0463342,8112216,8288900,8005410,0,0,0
433.0412488,7232349,6507821,7011263,0,0,0
449.0361634,5211944,4841853,4841878,0,0,0
387.1115311,4832198,4536484,4037176,0,0,0
427.0306842,3933673,3067936,3150220,0,0,0
443.0255988,3240516,3097330,2971644,0,0,0
381.0615904,3657775,3143459,3121771,0,0,0
397.056505,5188027,5013514,4134346,0,0,0
413.0514196,5566576,5038619,4956954,0,0,0
429.0463342,5897504,5463515,5334271,0,0,0
445.0412488,5606708,5197428,4780845,0,0,0
461.0361634,4202037,3930911,4112746,0,0,0
415.0670696,7471223,6523484,6858540,0,0,0
431.0619842,7980100,7797129,7521380,0,0,0
409.056505,2963430,3048780,3460763,0,0,0
425.0514196,4098713,3904087,3710469,0,0,0
441.0463342,3748688,3521388,3334342,0,0,0
457.0412488,3595153,3738565,3634852,0,0,0
473.0361634,3345459,2832950,2507002,0,0,0
395.0772404,3379213,2935491,3112579,0,0,0
411.072155,4720705,4405698,4175595,0,0,0
427.0670696,5061093,4744735,5107081,0,0,0
443.0619842,4901439,4587247,4999160,0,0,0
459.0568988,5742294,5139307,5227007,0,0,0
475.0518134,5146656,4551217,4803259,0,0,0
407.0772404,2748255,3218620,2715179,0,0,0
423.072155,3425074,2778749,2941548,0,0,0
439.0670696,3910746,2941923,3658124,0,0,0
455.0619842,3430493,3341351,3723090,0,0,0
471.0568988,4138070,3674692,3433282,0,0,0
487.0518134,3694822,2996391,3411476,0,0,0
425.087805,3483286,3426902,3729923,0,0,0
441.0827196,4038475,3591018,4591810,0,0,0
457.0776342,5298061,4742083,5246625,0,0,0
469.0776342,3594379,3482203,3466134,0,0,0
485.0725488,3777703,2968197,3230234,0,0,0
501.0674634,3629955,3078134,3024549,0,0,0
331.0670696,2823130,3245252,3575301,0,0,0
323.040855,3351004,3510435,3502452,0,0,0
339.0357696,4127015,4361102,5111131,0,0,0
355.0306842,3782813,3921786,3432097,0,0,0
325.056505,4354880,3850269,4354311,0,0,0
341.0514196,4495678,4510053,4323160,0,0,0
357.0463342,3565942,3762599,4216062,0,0,0
343.0670696,4104047,4291400,4650340,0,0,0
359.0619842,4807772,4769753,4492127,0,0,0
345.0827196,2871741,2921784,2854270,0,0,0
351.0357696,7064877,7675710,7721480,0,0,0
367.0306842,7189534,7620755,7654609,0,0,0
383.0255988,4362943,4103422,4195938,0,0,0
321.0615904,4031120,3297083,3918324,0,0,0
353.0514196,8333282,9378141,9395285,0,0,0
369.0463342,8738587,8833731,8867629,0,0,0
385.0412488,5026121,4783828,4569170,0,0,0
371.0619842,8684052,8680685,8083842,0,0,0
387.0568988,4741046,4689048,4787755,0,0,0
373.0776342,6666502,6706961,6470606,0,0,0
389.0725488,2820612,3170888,2578412,0,0,0
375.0932842,3318766,3354923,3438096,0,0,0
393.0860903,3369523,3148639,2740506,0,0,0
395.0255988,6506497,6488762,5636218,0,0,0
381.0463342,11468841,11890463,11457640,0,0,0
397.0412488,8319416,8549384,7426504,0,0,0
413.0361634,3628144,3267610,3809050,0,0,0
383.0619842,11657931,10836230,11243115,0,0,0
399.0568988,8248128,8457529,8190708,0,0,0
415.0518134,3890295,3791451,3496748,0,0,0
401.0725488,6088856,6033996,6339580,0,0,0
403.0881988,4173244,4337470,4200670,0,0,0
405.1038488,2645673,2958863,2962841,0,0,0
393.0463342,13633065,12024152,12396307,0,0,0
409.0412488,9783269,9441611,9121435,0,0,0
425.0361634,4798106,4604503,4612614,0,0,0
411.0568988,10260545,9685441,9535211,0,0,0
427.0518134,5577191,4827680,4942218,0,0,0
413.0725488,9474160,8483356,8032027,0,0,0
429.0674634,4537629,4338138,4211966,0,0,0
415.0881988,6754422,6414940,6156076,0,0,0
431.0831134,3371073,3061640,2832482,0,0,0
417.1038488,4618326,4600452,4067105,0,0,0
354.1558248,4606310,4679306,3747740,0,0,0
421.0412488,8202164,8635027,7689920,0,0,0
437.0361634,5906790,5823577,4948562,0,0,0
423.0568988,10383155,9853566,9457260,0,0,0
439.0518134,6328412,5574628,5624205,0,0,0
455.046728,3131998,3074088,2540884,0,0,0
425.0725488,10606231,9710166,9610756,0,0,0
441.0674634,5657421,5676907,5369028,0,0,0
427.0881988,8431075,8063519,7576968,0,0,0
443.0831134,4777532,4862702,4043766,0,0,0
429.1038488,5897498,5721561,5916923,0,0,0
445.0987634,2845997,2962032,2908455,0,0,0
431.1194988,4871229,4579718,4078687,0,0,0
381.1312068,11183174,11790132,12201086,0,0,0
465.031078,3201333,2613415,2872423,0,0,0
435.0568988,8983140,8466630,8413963,0,0,0
451.0518134,6240811,6069509,6190285,0,0,0
467.046728,3804374,3366012,3343353,0,0,0
453.0674634,6461755,6175890,6041611,0,0,0
469.062378,4242572,3918427,3775383,0,0,0
439.0881988,8390743,8460258,8741258,0,0,0
455.0831134,6000730,5210150,4735824,0,0,0
471.078028,3460182,3282500,3313473,0,0,0
457.0987634,4249483,4230082,3745440,0,0,0
459.1144134,3689169,2773865,2799611,0,0,0
445.1351488,3235112,2593902,2720036,0,0,0
477.124978,3101727,2974260,3373702,0,0,0
447.0568988,7353385,6433270,6375007,0,0,0
463.0518134,6123945,5822173,5668065,0,0,0
479.046728,3957804,3798591,4031071,0,0,0
449.0725488,7920419,8322427,7497106,0,0,0
465.0674634,6520116,6165158,5743717,0,0,0
481.062378,4499528,4050512,3522111,0,0,0
451.0881988,8350247,8537347,7716042,0,0,0
467.0831134,6823125,6402683,6330359,0,0,0
483.078028,3959922,3951208,3111464,0,0,0
469.0987634,5183627,4795994,5058453,0,0,0
485.093678,3211431,2939013,2898970,0,0,0
471.1144134,4001877,3708484,3927872,0,0,0
